#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-10T10:50:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af41ece3370	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=NGC2070
#-c.eq=J2000
#-c.r=  0.2
#-c.u=deg
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#RA_ICRS=!=
#-out=e_RA_ICRS
#-out=DE_ICRS
#DE_ICRS=!=
#-out=e_DE_ICRS
#-out=Plx
#Plx=<2
#-out=e_Plx
#-out=pmRA
#pmRA=-2..2
#-out=e_pmRA
#e_pmRA=<=0.1
#-out=pmDE
#pmDE=-2..2
#-out=e_pmDE
#e_pmDE=<=0.1
#epsi=<1
#Nper=>=5
#-out=Gmag
#Gmag=<17
#-out=e_Gmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.675000-69.100000,rd=0.2	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|Gmag|e_Gmag|RV|e_RV
Gaia DR2 4657654370539814016|084.43599947945| 0.0290|-69.24046317300| 0.0294|   -0.0108| 0.0305|    1.753| 0.055|    0.595| 0.060|14.6160|0.0009|       |
Gaia DR2 4657654267460942336|084.49778619313| 0.0336|-69.27644699790| 0.0315|   -0.0548| 0.0338|    1.739| 0.063|    0.632| 0.065|15.3577|0.0013|       |
Gaia DR2 4657665984135051008|084.41411992111| 0.0421|-69.26676253202| 0.0419|    0.0244| 0.0418|    1.754| 0.082|    0.823| 0.085|16.2298|0.0009|       |
Gaia DR2 4657665979816808320|084.38223708520| 0.0430|-69.26344626947| 0.0410|    0.0282| 0.0411|    1.298| 0.084|    0.530| 0.086|16.1139|0.0009|       |
Gaia DR2 4657665984135054592|084.41379542546| 0.0257|-69.26838915419| 0.0253|   -0.0333| 0.0256|    1.766| 0.046|    0.689| 0.048|13.8389|0.0025|       |
Gaia DR2 4657666190293188480|084.33251916042| 0.0389|-69.22261833351| 0.0391|   -0.0798| 0.0384|    1.464| 0.076|    0.729| 0.082|16.2392|0.0066|       |
Gaia DR2 4657666190293189888|084.35172836577| 0.0194|-69.23090595145| 0.0200|   -0.0563| 0.0202|    1.603| 0.036|    0.615| 0.044|14.1766|0.0003|       |
Gaia DR2 4657666155933451008|084.33148972592| 0.0339|-69.23777053630| 0.0330|   -0.0280| 0.0344|    1.638| 0.063|    0.542| 0.066|15.2370|0.0006|       |
Gaia DR2 4657666190293191424|084.37059997494| 0.0455|-69.22701492472| 0.0482|   -0.0333| 0.0475|    1.961| 0.087|    0.700| 0.099|16.4155|0.0015|       |
Gaia DR2 4657666082940629120|084.37343528787| 0.0325|-69.24775865975| 0.0303|   -0.0708| 0.0309|    1.389| 0.063|    0.524| 0.064|13.6377|0.0007|       |
Gaia DR2 4657666087213977600|084.37970743621| 0.0399|-69.24260269194| 0.0414|   -0.0927| 0.0418|    1.710| 0.073|    0.746| 0.085|15.5755|0.0007|       |
Gaia DR2 4657666087214224256|084.37706624633| 0.0332|-69.24855010867| 0.0325|    0.0149| 0.0321|    1.653| 0.063|    0.551| 0.067|15.3156|0.0005|       |
Gaia DR2 4657666259012874880|084.28814175463| 0.0441|-69.23650663191| 0.0451|    0.0169| 0.0417|    1.830| 0.088|    0.767| 0.093|16.0803|0.0010|       |
Gaia DR2 4657666327732345856|084.27139618269| 0.0395|-69.23506588314| 0.0387|   -0.0915| 0.0378|    1.465| 0.077|    0.802| 0.078|16.0514|0.0009|       |
Gaia DR2 4657666327732136704|084.25381219797| 0.0298|-69.22085315191| 0.0296|   -0.0373| 0.0305|    1.579| 0.056|    0.673| 0.061|14.5228|0.0011|       |
Gaia DR2 4657666224653142272|084.28559497214| 0.0434|-69.24088099644| 0.0458|   -0.0447| 0.0431|    1.636| 0.083|    0.753| 0.092|16.2495|0.0022|       |
Gaia DR2 4657666362091877120|084.28766121664| 0.0411|-69.21886716256| 0.0435|   -0.0752| 0.0426|    1.578| 0.079|    0.400| 0.088|16.1960|0.0008|       |
Gaia DR2 4657666362091880064|084.32312851005| 0.0287|-69.22886952783| 0.0288|    0.0434| 0.0293|    1.606| 0.054|    0.615| 0.059|15.3006|0.0006|       |
Gaia DR2 4657666396451617280|084.32346861290| 0.0358|-69.21326860424| 0.0348|    0.0100| 0.0351|    1.877| 0.067|    0.638| 0.074|15.1467|0.0016|       |
Gaia DR2 4657666430811353216|084.27623021818| 0.0396|-69.22362629589| 0.0402|   -0.0262| 0.0402|    1.768| 0.076|    0.708| 0.083|16.2331|0.0009|       |
Gaia DR2 4657666465171088000|084.25344463388| 0.0400|-69.19630529992| 0.0409|   -0.0184| 0.0405|    1.583| 0.081|    0.587| 0.084|16.2832|0.0017|       |
Gaia DR2 4657666430811527680|084.27131686946| 0.0387|-69.21341272686| 0.0391|   -0.0459| 0.0389|    1.524| 0.075|    0.699| 0.078|16.1236|0.0008|       |
Gaia DR2 4657667289804795904|084.18422903548| 0.0461|-69.18128454522| 0.0484|   -0.0569| 0.0472|    1.913| 0.089|    0.803| 0.098|16.4003|0.0024|       |
Gaia DR2 4657667221062688768|084.22575274740| 0.0347|-69.19510229636| 0.0371|    0.0365| 0.0377|    1.899| 0.064|    0.509| 0.071|15.2731|0.0006|       |
Gaia DR2 4657667186725586816|084.20154132840| 0.0393|-69.19863855974| 0.0399|   -0.0160| 0.0407|    1.666| 0.074|    0.279| 0.082|15.5147|0.0010|       |
Gaia DR2 4657667186725588480|084.20814300138| 0.0257|-69.19751561646| 0.0257|   -0.0538| 0.0264|    1.796| 0.048|    0.739| 0.052|13.5117|0.0005|       |
Gaia DR2 4657667221085473920|084.23196556443| 0.0470|-69.18959111023| 0.0432|    0.0786| 0.0458|    1.795| 0.089|    0.699| 0.088|15.9229|0.0008|       |
Gaia DR2 4657667216778066560|084.22996656866| 0.0278|-69.19377013756| 0.0285|    0.1146| 0.0300|    1.949| 0.050|    0.419| 0.054|11.8461|0.0013|       |
Gaia DR2 4657667289804789248|084.16578520355| 0.0294|-69.17607173391| 0.0290|    0.0186| 0.0300|    1.624| 0.055|    0.561| 0.059|15.1849|0.0005|       |
Gaia DR2 4657667289804795392|084.18482556204| 0.0420|-69.17981623359| 0.0431|    0.0175| 0.0428|    1.928| 0.081|    0.612| 0.088|16.4080|0.0029|       |
Gaia DR2 4657673886875891072|084.92154990829| 0.0433|-69.26508713105| 0.0506|   -0.1714| 0.0475|    1.855| 0.082|    0.735| 0.093|16.5648|0.0014|       |
Gaia DR2 4657673886875896832|084.92703269348| 0.0370|-69.27136993158| 0.0385|   -0.0437| 0.0366|    1.686| 0.068|    0.843| 0.071|15.8293|0.0007|       |
Gaia DR2 4657673886875894784|084.93019885518| 0.0426|-69.26481372953| 0.0512|    0.0706| 0.0474|    1.632| 0.081|    0.802| 0.097|16.4332|0.0009|       |
Gaia DR2 4657673955595355520|084.86941529789| 0.0272|-69.28417458287| 0.0302|    0.0741| 0.0288|    1.871| 0.053|    0.647| 0.057|15.5513|0.0006|       |
Gaia DR2 4657673955595352576|084.86883919087| 0.0421|-69.27775441226| 0.0483|    0.0149| 0.0447|    1.828| 0.080|    0.697| 0.093|16.4994|0.0042|       |
Gaia DR2 4657673989955086976|084.84519071961| 0.0443|-69.28971306596| 0.0495|   -0.0007| 0.0464|    1.701| 0.084|    0.833| 0.095|16.4384|0.0009|       |
Gaia DR2 4657673989955087104|084.84940277343| 0.0188|-69.28618620805| 0.0194|   -0.0567| 0.0190|    1.641| 0.034|    0.653| 0.037|14.4076|0.0007|       |
Gaia DR2 4657674127394025216|084.84353083646| 0.0328|-69.25511853892| 0.0356|   -0.0450| 0.0356|    1.667| 0.059|    0.696| 0.064|15.9266|0.0074|       |
Gaia DR2 4657674093034311168|084.90139719708| 0.0377|-69.26020856543| 0.0486|   -0.1332| 0.0427|    1.586| 0.073|    0.697| 0.087|16.2042|0.0013|       |
Gaia DR2 4657674054335410304|084.87866583136| 0.0313|-69.27111970818| 0.0344|   -0.0687| 0.0318|    1.956| 0.059|    0.648| 0.065|13.0811|0.0023| 249.18| 0.32
Gaia DR2 4657674093034318336|084.91594257679| 0.0364|-69.26394409145| 0.0428|    0.0093| 0.0398|    1.696| 0.069|    0.725| 0.077|16.0444|0.0007|       |
Gaia DR2 4657674093012846336|084.88908697925| 0.0372|-69.26072220006| 0.0430|   -0.0646| 0.0411|    1.693| 0.070|    0.612| 0.079|15.8278|0.0016|       |
Gaia DR2 4657674093034313600|084.90118777176| 0.0504|-69.26761659219| 0.0503|   -0.0257| 0.0488|    1.628| 0.095|    0.706| 0.092|16.4735|0.0011|       |
Gaia DR2 4657674711509802240|085.02430234882| 0.0406|-69.24434789951| 0.0452|   -0.0207| 0.0427|    1.760| 0.082|    0.649| 0.087|15.8577|0.0010|       |
Gaia DR2 4657674711509804032|085.03783207062| 0.0375|-69.24543637050| 0.0425|   -0.0213| 0.0392|    1.642| 0.076|    0.818| 0.081|16.1725|0.0014|       |
Gaia DR2 4657675123826661760|085.06693655608| 0.0391|-69.23385817666| 0.0457|   -0.0344| 0.0418|    1.663| 0.080|    0.719| 0.092|16.2233|0.0026|       |
Gaia DR2 4657675123826500864|085.03760789726| 0.0270|-69.21883911178| 0.0311|   -0.0100| 0.0295|    1.701| 0.053|    0.642| 0.059|15.6028|0.0007|       |
Gaia DR2 4657675020747314432|085.07354259643| 0.0395|-69.24075829047| 0.0479|    0.0035| 0.0426|    1.730| 0.078|    0.618| 0.090|16.1983|0.0033|       |
Gaia DR2 4657675261265448448|085.04771352722| 0.0377|-69.19688816056| 0.0443|    0.0459| 0.0415|    1.570| 0.075|    0.272| 0.085|16.2894|0.0007|       |
Gaia DR2 4657675158186258304|085.07685397736| 0.0302|-69.21911150011| 0.0375|   -0.0874| 0.0347|    1.983| 0.060|    0.568| 0.068|15.3188|0.0007|       |
Gaia DR2 4657675222565846656|085.07012474949| 0.0230|-69.22174105103| 0.0263|   -0.0885| 0.0251|    1.651| 0.045|    0.693| 0.050|15.2388|0.0007|       |
Gaia DR2 4657675329984920576|084.97145660681| 0.0284|-69.25971045520| 0.0305|   -0.0596| 0.0303|    1.836| 0.053|    0.612| 0.056|14.6642|0.0149|       |
Gaia DR2 4657675364344653440|084.94957130120| 0.0196|-69.26745259441| 0.0211|   -0.0684| 0.0206|    1.714| 0.037|    0.867| 0.039|13.3218|0.0004|       |
Gaia DR2 4657675295625184512|084.97007774818| 0.0483|-69.26808623088| 0.0539|   -0.0038| 0.0512|    1.628| 0.094|    0.271| 0.100|16.7240|0.0038|       |
Gaia DR2 4657675329984928768|084.99414828064| 0.0425|-69.25484154589| 0.0517|   -0.0569| 0.0449|    1.671| 0.084|    0.506| 0.096|16.3710|0.0013|       |
Gaia DR2 4657675501783585024|084.93139004462| 0.0347|-69.23314125644| 0.0415|   -0.0247| 0.0392|    1.689| 0.070|    0.793| 0.083|16.1613|0.0060|       |
Gaia DR2 4657675433064142336|084.99558960426| 0.0323|-69.25063576613| 0.0385|   -0.0365| 0.0344|    1.781| 0.064|    0.537| 0.073|15.9329|0.0008|       |
Gaia DR2 4657675536143318784|084.92605285222| 0.0245|-69.22456045205| 0.0282|   -0.0309| 0.0268|    1.809| 0.048|    0.552| 0.053|15.4450|0.0012|       |
Gaia DR2 4657675501783593728|084.94600269406| 0.0275|-69.24014077726| 0.0318|   -0.0837| 0.0298|    1.648| 0.054|    0.630| 0.058|15.4189|0.0004|       |
Gaia DR2 4657675501783588096|084.93736669473| 0.0326|-69.23658939166| 0.0410|    0.2376| 0.0369|    1.233| 0.066|    0.812| 0.074|15.9864|0.0005|       |
Gaia DR2 4657675463093267584|084.99669325749| 0.0291|-69.23783999387| 0.0340|   -0.0590| 0.0318|    1.571| 0.058|    0.656| 0.065|15.6306|0.0006|       |
Gaia DR2 4657675433064147712|085.00829241171| 0.0382|-69.24931039421| 0.0477|   -0.0557| 0.0435|    1.353| 0.077|    0.510| 0.084|16.3598|0.0009|       |
Gaia DR2 4657675604862784000|084.88650363230| 0.0379|-69.23066552669| 0.0442|   -0.0805| 0.0412|    1.665| 0.076|    0.604| 0.082|16.3737|0.0008|       |
Gaia DR2 4657675639222508288|084.84981066346| 0.0312|-69.23232056223| 0.0343|   -0.0169| 0.0329|    1.681| 0.063|    0.525| 0.064|15.8719|0.0008|       |
Gaia DR2 4657675639222511872|084.85651976762| 0.0143|-69.23688603009| 0.0154|   -0.0329| 0.0149|    1.702| 0.027|    0.649| 0.028|13.5897|0.0012|       |
Gaia DR2 4657675776661453824|084.84317671188| 0.0394|-69.21372598994| 0.0462|   -0.0790| 0.0419|    1.632| 0.078|    0.442| 0.084|16.0868|0.0008|       |
Gaia DR2 4657675948460182400|084.96318944497| 0.0347|-69.19822275877| 0.0418|   -0.0146| 0.0372|    1.936| 0.070|    0.568| 0.078|16.1099|0.0008|       |
Gaia DR2 4657675948460175232|084.94030747043| 0.0266|-69.20228965203| 0.0299|   -0.0243| 0.0272|    1.651| 0.051|    0.826| 0.055|15.3076|0.0027|       |
Gaia DR2 4657676085899131264|084.97365263656| 0.0368|-69.17630067834| 0.0419|   -0.0725| 0.0394|    1.680| 0.073|    0.627| 0.078|16.2635|0.0007|       |
Gaia DR2 4657676051539398528|084.97313843627| 0.0239|-69.19195880162| 0.0277|    0.0275| 0.0253|    1.831| 0.051|    0.831| 0.052|15.3104|0.0005|       |
Gaia DR2 4657676085899134720|084.97387711688| 0.0398|-69.18396413458| 0.0461|    0.1138| 0.0429|    1.923| 0.080|    0.803| 0.086|16.2498|0.0011|       |
Gaia DR2 4657675982820112384|084.98370083155| 0.0433|-69.20139548426| 0.0478|    0.0136| 0.0443|    1.463| 0.088|    0.235| 0.089|16.4229|0.0007|       |
Gaia DR2 4657675982819936384|084.99683496989| 0.0278|-69.20189307705| 0.0334|    0.0249| 0.0322|    1.784| 0.054|    0.572| 0.060|15.5967|0.0008|       |
Gaia DR2 4657676017179684096|085.02926185831| 0.0228|-69.19485760045| 0.0258|    0.0009| 0.0248|    1.842| 0.044|    0.679| 0.049|13.9139|0.0007|       |
Gaia DR2 4657676154618594816|084.91458998952| 0.0265|-69.19646224388| 0.0284|    0.0381| 0.0286|    1.747| 0.051|    0.672| 0.053|13.3458|0.0019|       |
Gaia DR2 4657676154618595968|084.92411399810| 0.0269|-69.19194495114| 0.0304|   -0.0815| 0.0278|    1.834| 0.052|    0.538| 0.055|13.3953|0.0019| 254.07| 0.63
Gaia DR2 4657676154618599680|084.92790073462| 0.0378|-69.19761532090| 0.0446|   -0.0959| 0.0414|    1.777| 0.074|    0.555| 0.084|16.1531|0.0020|       |
Gaia DR2 4657676120258851328|084.90205053900| 0.0385|-69.20009374130| 0.0441|   -0.0558| 0.0441|    1.738| 0.075|    0.729| 0.083|16.2658|0.0039|       |
Gaia DR2 4657676154597113472|084.91424658866| 0.0365|-69.19778865266| 0.0393|    0.0285| 0.0385|    1.932| 0.071|    0.545| 0.074|13.0477|0.0061| 249.67| 1.88
Gaia DR2 4657676188978307328|084.84919466139| 0.0266|-69.18180995202| 0.0304|   -0.0577| 0.0286|    1.640| 0.053|    0.689| 0.056|15.3904|0.0005|       |
Gaia DR2 4657676154618592640|084.91801421082| 0.0283|-69.19551652710| 0.0321|   -0.0543| 0.0304|    1.702| 0.055|    0.701| 0.059|15.1760|0.0006|       |
Gaia DR2 4657676154618593024|084.91339700311| 0.0362|-69.19492292420| 0.0438|    0.0148| 0.0400|    1.932| 0.072|    0.565| 0.079|16.1797|0.0014|       |
Gaia DR2 4657676154618590720|084.90804281094| 0.0291|-69.19619095580| 0.0310|   -0.1445| 0.0330|    1.433| 0.053|    0.490| 0.056|12.5010|0.0010|       |
Gaia DR2 4657676154597119744|084.91365013630| 0.0343|-69.19561324561| 0.0373|    0.0222| 0.0356|    1.337| 0.074|    0.629| 0.069|15.3208|0.0014|       |
Gaia DR2 4657676120258857472|084.91518446662| 0.0224|-69.20037972296| 0.0250|   -0.0298| 0.0240|    1.756| 0.044|    0.613| 0.046|15.0786|0.0008|       |
Gaia DR2 4657676120258858880|084.91612645236| 0.0167|-69.20120208654| 0.0181|    0.0300| 0.0177|    1.673| 0.032|    0.624| 0.033|12.9927|0.0015|       |
Gaia DR2 4657676360776998656|084.87272710958| 0.0422|-69.15636090457| 0.0489|   -0.1149| 0.0444|    1.495| 0.085|    0.651| 0.089|16.2368|0.0011|       |
Gaia DR2 4657676360777000320|084.87767824133| 0.0287|-69.15731744944| 0.0304|   -0.0853| 0.0302|    1.728| 0.050|    0.583| 0.055|14.6464|0.0005|       |
Gaia DR2 4657676257697795968|084.89640451046| 0.0404|-69.17520294661| 0.0489|   -0.0614| 0.0456|    1.463| 0.081|    0.562| 0.098|16.2886|0.0010|       |
Gaia DR2 4657676253413058816|084.93184368832| 0.0297|-69.17768475852| 0.0338|   -0.0347| 0.0328|    1.830| 0.058|    0.645| 0.060|15.7426|0.0011|       |
Gaia DR2 4657676566935445760|084.79613175017| 0.0411|-69.28878924848| 0.0431|    0.0156| 0.0428|    1.554| 0.079|    0.583| 0.086|16.2890|0.0008|       |
Gaia DR2 4657676601295158400|084.71594907113| 0.0170|-69.27302040157| 0.0180|   -0.0483| 0.0166|    1.670| 0.030|    0.563| 0.033|14.1123|0.0014|       |
Gaia DR2 4657676601295170176|084.74795211394| 0.0467|-69.28693825239| 0.0493|   -0.0093| 0.0483|    1.692| 0.087|    0.369| 0.095|16.3219|0.0011|       |
Gaia DR2 4657676601295171072|084.74807656347| 0.0382|-69.29031331946| 0.0408|   -0.0416| 0.0409|    1.756| 0.069|    0.614| 0.076|15.9199|0.0009|       |
Gaia DR2 4657676601295169536|084.74778960656| 0.0507|-69.28502619708| 0.0513|   -0.0690| 0.0530|    1.765| 0.092|    0.525| 0.099|16.4992|0.0009|       |
