#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-04-29T19:05:24 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ae6170c1272	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=VFTS 682
#-c.eq=J2000
#-c.r= 10
#-c.u=arcmin
#-c.geom=b
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=RV
#-out=e_RV
#
#INFO	-c=084.731358-69.074089,bm=10.000000/10.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|RV|e_RV|deg|mas|deg|mas|mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|km/s|km/s
#----------------------------|---------------|-------|---------------|-------|----------|-------|---------|------|---------|------|-------|-----
Gaia DR2 4657679105272823040|084.67627166186| 0.7924|-69.15463278031| 1.2615|   -0.4024| 0.7924|    4.691| 2.191|    1.162| 2.396|       |
Gaia DR2 4657679105272709376|084.67744919720| 0.5326|-69.15266293482| 0.7427|    0.2983| 0.5637|    1.677| 1.324|    0.024| 1.666|       |
Gaia DR2 4657679105272704896|084.66840234261| 0.7982|-69.15319122993| 1.0381|   -0.0728| 0.8373|    1.153| 2.472|    1.082| 2.410|       |
Gaia DR2 4657679105272704000|084.66679178781| 1.8453|-69.15257055487| 1.4140|          |       |         |      |         |      |       |
Gaia DR2 4657679075175242112|084.64559906420| 0.8062|-69.15649158980| 1.0927|    0.2961| 1.0418|    6.218| 3.504|    2.600| 2.475|       |
Gaia DR2 4657679109555992704|084.65317586465| 0.0847|-69.15115627117| 0.0952|    0.8357| 0.0818|   -7.615| 0.181|    6.780| 0.184|       |
Gaia DR2 4657679105272715904|084.68920465081| 0.2073|-69.15688807549| 0.2547|   -0.0346| 0.2228|    1.852| 0.466|    0.626| 0.546|       |
Gaia DR2 4657679105273005568|084.67254948337| 1.2502|-69.15154125636| 1.7214|    0.0269| 1.4103|   -3.768| 4.098|    2.561| 3.827|       |
Gaia DR2 4657679105272829568|084.68282992620| 0.7502|-69.15737377370| 1.0160|   -0.5173| 0.8636|   -0.903| 1.852|   -2.469| 2.459|       |
Gaia DR2 4657679075174690944|084.64920628538| 2.0154|-69.15708493972| 8.0558|          |       |         |      |         |      |       |
Gaia DR2 4657679105272691200|084.64926237814| 0.4269|-69.14616949551| 0.5339|   -0.9787| 0.4536|    1.685| 1.310|    3.186| 1.093|       |
Gaia DR2 4657679105223792768|084.64723767079| 0.4545|-69.15033838735| 0.5173|    1.2796| 0.4731|   -1.396| 0.937|    8.513| 1.060|       |
Gaia DR2 4657679105224228864|084.66031721454| 0.0900|-69.15077062979| 0.1084|   -0.0545| 0.0928|    1.754| 0.192|    0.595| 0.213|       |
Gaia DR2 4657679105272690432|084.64748487358| 0.6669|-69.14678585888| 0.8133|   -1.3399| 0.7181|   -0.450| 2.121|   -0.473| 1.653|       |
Gaia DR2 4657679105272697088|084.65739385753| 0.3175|-69.15553831573| 0.3681|   -0.0745| 0.2985|    2.064| 0.724|    1.755| 0.752|       |
Gaia DR2 4657679105272700544|084.66116586117| 0.4586|-69.15734203923| 0.5337|   -0.0774| 0.4724|   -0.699| 0.996|    0.159| 1.090|       |
Gaia DR2 4657679105223792128|084.67588774415| 0.3114|-69.15216427358| 0.3826|    0.4089| 0.3051|   -0.021| 0.739|   -0.013| 0.827|       |
Gaia DR2 4657679109534426880|084.64909029306| 0.1378|-69.15301077898| 0.1542|    0.0555| 0.1314|    1.551| 0.305|    0.167| 0.288|       |
Gaia DR2 4657679109534439424|084.66089343039| 8.4560|-69.15433226988| 8.2807|          |       |         |      |         |      |       |
Gaia DR2 4657679109534437632|084.66435490397| 2.2950|-69.14847227337| 2.0347|          |       |         |      |         |      |       |
Gaia DR2 4657679105272700800|084.66184155559| 0.4339|-69.15539491225| 0.5113|   -0.0936| 0.4196|    1.663| 0.975|   -1.273| 1.090|       |
Gaia DR2 4657679105272635136|084.64894726916| 0.1370|-69.15003351941| 0.1599|    0.1196| 0.1402|    1.940| 0.284|    0.430| 0.314|       |
Gaia DR2 4657679105272707200|084.67443876604| 0.1960|-69.15416760220| 0.2487|   -0.1283| 0.2062|    2.075| 0.437|    1.554| 0.504|       |
Gaia DR2 4657679109535534208|084.64562205432| 1.2475|-69.15385129040| 2.1589|          |       |         |      |         |      |       |
Gaia DR2 4657679105272817280|084.66858988913| 3.1192|-69.14941042120| 2.5341|          |       |         |      |         |      |       |
Gaia DR2 4657679105272705024|084.66847133714| 0.6578|-69.15507523237| 1.0564|    0.4007| 0.7277|    1.279| 1.670|   -1.036| 2.279|       |
Gaia DR2 4657679105272705920|084.67090158683| 0.4030|-69.15187821513| 0.5301|    0.0495| 0.4048|    2.719| 0.975|    0.139| 1.120|       |
Gaia DR2 4657679105272716672|084.69031676205| 0.3460|-69.15497914729| 0.4724|   -0.5802| 0.3875|    0.843| 0.805|    0.645| 1.005|       |
Gaia DR2 4657679105272703360|084.66639577937| 0.3310|-69.14874723734| 0.3976|    0.0927| 0.3127|    1.318| 0.755|    1.289| 0.813|       |
Gaia DR2 4657679109534452096|084.67453928850| 0.0614|-69.15637236037| 0.0691|    0.1180| 0.0633|    1.854| 0.125|    0.772| 0.135|       |
Gaia DR2 4657679109534451968|084.67234913909| 1.5616|-69.15639331369| 2.8843|          |       |         |      |         |      |       |
Gaia DR2 4657679105272657024|084.67391557714| 0.1363|-69.15685516846| 0.1390|    0.2779| 0.1325|    2.254| 0.282|    1.227| 0.274|       |
Gaia DR2 4657679105272703872|084.66683923311| 0.2825|-69.15199286677| 0.3311|   -0.1840| 0.2665|    1.007| 0.663|    1.591| 0.679|       |
Gaia DR2 4657679105272711552|084.68067795078| 0.6186|-69.15535096068| 0.7937|          |       |         |      |         |      |       |
Gaia DR2 4657679105248745728|084.66126284325| 0.0837|-69.14834985656| 0.0988|   -0.0521| 0.0882|    1.508| 0.187|    0.678| 0.194|       |
Gaia DR2 4657679105272702208|084.66481010640| 0.8935|-69.15265279117| 1.4143|    1.7826| 1.0584|   -4.658| 3.068|   -6.453| 3.089|       |
Gaia DR2 4657679105272701952|084.66480338409| 0.2880|-69.14887760869| 0.3372|    0.0631| 0.2705|    3.094| 0.720|    1.757| 0.688|       |
Gaia DR2 4657679105272820608|084.67100853246| 1.0595|-69.14983398491| 1.1513|    1.1226| 1.0897|    0.151| 2.732|    0.315| 2.476|       |
Gaia DR2 4657679105272709760|084.67813775500| 0.7311|-69.15501149477| 1.2030|          |       |         |      |         |      |       |
Gaia DR2 4657679105272651136|084.65775222783| 0.3282|-69.15491318584| 0.3838|    0.2261| 0.3260|    2.048| 0.767|   -0.863| 0.796|       |
Gaia DR2 4657679105273013632|084.67854576448| 8.7456|-69.15438066266| 6.6674|          |       |         |      |         |      |       |
Gaia DR2 4657679105272649216|084.65000123256| 0.3666|-69.14814594307| 0.4640|    0.0657| 0.3841|    1.593| 0.804|    0.139| 0.951|       |
Gaia DR2 4657679109556537984|084.67056597946| 1.6910|-69.15067761590| 2.2896|          |       |         |      |         |      |       |
Gaia DR2 4657679036553243136|084.69672132627| 0.4611|-69.15663257531| 0.6659|   -0.1891| 0.5168|    2.685| 1.074|   -1.004| 1.499|       |
Gaia DR2 4657679109555997824|084.66437466077| 0.2392|-69.14939212882| 0.2817|   -0.3665| 0.2283|    1.120| 0.583|   -0.392| 0.567|       |
Gaia DR2 4657679109555998336|084.66019619793| 0.2805|-69.15418297389| 0.3170|    0.2535| 0.2682|    1.373| 0.622|   -0.368| 0.641|       |
Gaia DR2 4657679105272717440|084.69213714534| 0.2957|-69.15712488921| 0.3774|   -0.6000| 0.2931|    2.236| 0.699|    1.855| 0.823|       |
Gaia DR2 4657679109556009728|084.68145778541| 0.0824|-69.15641475108| 0.0985|   -0.0815| 0.0861|    1.410| 0.171|    0.670| 0.192|       |
Gaia DR2 4657679036553566336|084.69518083891| 8.5137|-69.15695635313| 8.9456|          |       |         |      |         |      |       |
Gaia DR2 4657679105272806912|084.65639761368| 1.9853|-69.15673895521| 1.7985|          |       |         |      |         |      |       |
Gaia DR2 4657679109556005248|084.67331563598| 0.2408|-69.15650336528| 0.3761|    0.3210| 0.2730|    2.453| 0.520|    3.764| 0.726|       |
Gaia DR2 4657679105272822656|084.67408950498| 0.5020|-69.15337056646| 0.7026|   -0.2035| 0.5054|    4.184| 1.150|    0.587| 1.366|       |
Gaia DR2 4657679173992379904|084.79434327901| 5.2915|-69.15613329914| 4.8360|          |       |         |      |         |      |       |
Gaia DR2 4657679242711854976|084.78957886264| 4.9231|-69.15591941352| 3.4881|          |       |         |      |         |      |       |
Gaia DR2 4657679242711854592|084.78906357277| 6.3677|-69.15719435635| 4.1141|          |       |         |      |         |      |       |
Gaia DR2 4657679242676957824|084.75214794513| 0.6876|-69.15316685727| 0.8605|   -1.1639| 0.7133|    2.678| 1.628|    7.181| 1.725|       |
Gaia DR2 4657679242711703424|084.76362870566| 0.7455|-69.15095363154| 1.2498|   -0.7651| 0.7991|   -0.213| 1.953|    1.129| 2.600|       |
Gaia DR2 4657679246974460672|084.74933599155| 2.0135|-69.14567524209| 1.8672|          |       |         |      |         |      |       |
Gaia DR2 4657679242711703040|084.76319739176| 1.2928|-69.15492221508| 1.1713|    0.2286| 0.9995|   -2.098| 3.067|    3.967| 2.443|       |
Gaia DR2 4657679246995000320|084.78957755955| 0.3696|-69.15530153292| 0.5939|   -0.3672| 0.4073|    1.373| 0.897|   -0.404| 1.073|       |
Gaia DR2 4657679246994997504|084.77530964129| 0.2896|-69.15659804664| 0.3717|   -0.2490| 0.3083|    1.965| 0.666|   -0.581| 0.751|       |
Gaia DR2 4657679242711699968|084.75082339930| 0.6633|-69.15509981044| 0.8548|   -0.2771| 0.6820|    3.950| 1.604|    1.753| 1.767|       |
Gaia DR2 4657679242712098816|084.78740513876| 0.2509|-69.15714657204| 0.3191|    0.2926| 0.2620|    1.906| 0.570|    1.068| 0.634|       |
Gaia DR2 4657679246994999040|084.78365707937| 0.7460|-69.15699299542| 1.4082|          |       |         |      |         |      |       |
Gaia DR2 4657679246973473920|084.78312553765| 0.6740|-69.15701896055| 0.8685|   -0.0611| 0.6800|   -1.834| 1.532|  -15.806| 1.583|       |
Gaia DR2 4657679246973466496|084.76871790901| 2.9889|-69.15122917241| 2.1410|          |       |         |      |         |      |       |
Gaia DR2 4657679246973470336|084.77252971696| 0.1994|-69.15693845409| 0.2465|   -0.0841| 0.2100|    1.404| 0.444|    0.645| 0.480|       |
Gaia DR2 4657679242711703936|084.76766703513| 0.3864|-69.15525773179| 0.5043|   -0.1302| 0.4072|    3.303| 0.902|    1.376| 1.024|       |
Gaia DR2 4657679242711705344|084.77172680001| 0.5847|-69.15099024476| 0.8119|    0.0733| 0.5977|    2.291| 1.497|    0.239| 1.794|       |
Gaia DR2 4657679242664588416|084.79015288686| 0.2322|-69.15512016007| 0.2959|   -0.4224| 0.2443|   -0.843| 0.524|    1.722| 0.589|       |
Gaia DR2 4657679242664585600|084.74748224598| 0.0826|-69.14456736495| 0.0920|    0.0099| 0.0873|    1.580| 0.162|    0.665| 0.171|       |
Gaia DR2 4657679246995532032|084.75803230928| 1.4387|-69.14954770108| 2.8079|          |       |         |      |         |      |       |
Gaia DR2 4657679246974755840|084.76638602724| 6.3348|-69.15469101652| 5.8456|          |       |         |      |         |      |       |
Gaia DR2 4657679246973457920|084.75156671530| 0.8538|-69.14962154979| 1.1396|    0.5491| 0.9170|    2.242| 1.975|   -0.769| 2.088|       |
Gaia DR2 4657679173992235008|084.79333384068| 0.5146|-69.15650598117| 0.6908|    0.0756| 0.5668|    1.559| 1.313|   -0.094| 1.424|       |
Gaia DR2 4657679246973466624|084.76858453985| 0.6734|-69.15141614319| 0.8541|    1.8440| 0.7129|   -1.404| 1.385|  -11.980| 1.583|       |
Gaia DR2 4657679246973463552|084.76386894482| 0.7830|-69.15280632663| 1.2131|    0.6949| 0.8274|    2.682| 2.043|    5.128| 2.486|       |
Gaia DR2 4657679246995488640|084.74639792814| 3.6469|-69.15579098240| 3.2369|          |       |         |      |         |      |       |
Gaia DR2 4657679242711698944|084.74847356940| 0.6466|-69.15565993502| 0.7289|   -0.6600| 0.6452|    0.487| 1.436|    0.488| 1.436|       |
Gaia DR2 4657679242677069440|084.78515272226| 0.2530|-69.15567321329| 0.3126|   -0.3920| 0.2718|    1.688| 0.546|    0.333| 0.587|       |
Gaia DR2 4657679212635700864|084.74428417595| 1.6251|-69.15718616039| 3.4396|          |       |         |      |         |      |       |
Gaia DR2 4657679246994988416|084.74600865017| 0.4782|-69.14708595478| 0.6147|    0.7670| 0.5134|    1.263| 1.106|    3.582| 1.284|       |
Gaia DR2 4657679242711842304|084.75418159467| 0.4633|-69.15211500500| 0.6293|    0.0169| 0.5037|    1.683| 1.080|    1.793| 1.237|       |
Gaia DR2 4657679246974646656|084.77296952239| 5.2793|-69.15490376414| 5.2823|          |       |         |      |         |      |       |
Gaia DR2 4657679242712086272|084.77020908626| 1.5476|-69.15603772953| 3.2048|          |       |         |      |         |      |       |
Gaia DR2 4657679246994993408|084.76480920112| 0.7337|-69.15252175741| 0.9946|   -0.3014| 0.7925|    3.050| 1.661|    4.395| 2.019|       |
Gaia DR2 4657679246974325888|084.74789800368| 3.6032|-69.14957380051| 7.2762|          |       |         |      |         |      |       |
Gaia DR2 4657679242711847808|084.76663100524| 3.4318|-69.15003220782| 2.7480|          |       |         |      |         |      |       |
Gaia DR2 4657679242711844864|084.76051991197| 2.6524|-69.15568263239| 2.7304|          |       |         |      |         |      |       |
Gaia DR2 4657679242711845632|084.76202917461| 0.7737|-69.14916978649| 1.0111|   -0.4578| 0.7487|    2.800| 2.085|    3.766| 2.008|       |
Gaia DR2 4657679242657860224|084.76351335727| 0.2410|-69.15164145180| 0.3197|    2.1211| 0.2524|   22.376| 0.549|    1.264| 0.673|       |
Gaia DR2 4657679242711843328|084.75605854345| 5.7884|-69.15203614193| 7.1432|          |       |         |      |         |      |       |
Gaia DR2 4657679242657858304|084.76751283003| 0.2517|-69.15678975810| 0.3253|   -0.4630| 0.2688|    1.537| 0.566|    0.148| 0.634|       |
Gaia DR2 4657679315694124288|084.81938244292| 5.6502|-69.14201476322| 3.9067|          |       |         |      |         |      |       |
Gaia DR2 4657679380150811136|084.79740926875| 0.7067|-69.13358863537| 0.7735|   -0.2242| 0.6240|    1.626| 1.567|    2.357| 1.436|       |
Gaia DR2 4657679311431334912|084.79846424290| 1.0365|-69.13744894986| 1.2379|   -2.2702| 0.8997|   -1.815| 2.232|   -1.764| 2.363|       |
Gaia DR2 4657679277071596672|084.79904687242| 0.6810|-69.15070037548| 1.1993|          |       |         |      |         |      |       |
Gaia DR2 4657679311431342848|084.82324841323| 2.9875|-69.14698579250| 2.3251|          |       |         |      |         |      |       |
Gaia DR2 4657679345791070976|084.79282660363| 0.4954|-69.15286449095| 0.6501|   -0.0445| 0.5612|    1.508| 1.181|   -2.365| 1.353|       |
Gaia DR2 4657679311431343488|084.82412763569| 3.5714|-69.14040671369| 6.1046|          |       |         |      |         |      |       |
Gaia DR2 4657679345791071360|084.79334872544| 0.9286|-69.15116413498| 1.2756|   -1.6250| 0.9431|    0.479| 2.469|    0.156| 2.562|       |
Gaia DR2 4657679311431343872|084.82527749383| 2.7578|-69.15061557098| 1.8704|          |       |         |      |         |      |       |
Gaia DR2 4657679281334045440|084.83527213286| 1.2905|-69.15667486336| 1.3541|   -0.1641| 1.2286|    0.351| 3.044|   -1.042| 2.879|       |
Gaia DR2 4657679380150806528|084.78327258916| 0.8887|-69.13519360151| 1.0989|   -0.0093| 0.8616|    3.127| 1.944|    2.023| 2.002|       |
Gaia DR2 4657679350074203648|084.75784183631| 0.1025|-69.13606452410| 0.1151|   -0.0486| 0.1055|    1.658| 0.210|    0.924| 0.217|       |
Gaia DR2 4657679277071602176|084.81461152571| 1.2620|-69.15442138357| 1.9722|          |       |         |      |         |      |       |
Gaia DR2 4657679384435150720|084.75429672853|23.6603|-69.12115453785| 8.7094|          |       |         |      |         |      |       |
Gaia DR2 4657679345791307520|084.77929835861| 2.2517|-69.14281767272| 2.0288|          |       |         |      |         |      |       |
Gaia DR2 4657679277071603328|084.81815637224| 1.0867|-69.15371175101| 1.5096|   -0.0510| 1.1205|    3.605| 3.409|    7.174| 3.043|       |
Gaia DR2 4657679345791307648|084.77981165626|19.4052|-69.14659529436| 6.7959|          |       |         |      |         |      |       |
Gaia DR2 4657679277071600000|084.80758351263| 1.9241|-69.15140705946| 2.0099|          |       |         |      |         |      |       |
Gaia DR2 4657679380150804864|084.78120587391| 1.3000|-69.13773908353| 2.2720|          |       |         |      |         |      |       |
Gaia DR2 4657679380150804608|084.77942220412| 7.8670|-69.13139019142|26.4604|          |       |         |      |         |      |       |
Gaia DR2 4657679311377345664|084.79760531609| 0.1814|-69.14026805419| 0.1815|   -0.2290| 0.1809|    1.234| 0.385|    1.163| 0.333|       |
