#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-12T09:05:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af6a690976a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=NGC2070
#-c.eq=J2000
#-c.r=  0.05
#-c.u=deg
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Source
#-out=Plx
#Plx=<0.1
#-out=e_Plx
#-out=pmRA
#pmRA=!=
#-out=e_pmRA
#e_pmRA=<=0.07
#-out=pmDE
#pmDE=!=
#-out=e_pmDE
#e_pmDE=<=0.07
#-out=epsi
#epsi=<1
#Nper=>=5
#-out=Gmag
#Gmag=<17
#-out=e_Gmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.675000-69.100000,rd=0.05	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id) (G2)	[ucd=meta.id;meta.main]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	epsi	(F6.3)	Excess noise of the source (astrometric_excess_noise) (12)	[ucd=stat.value]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Source|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|epsi|Gmag|e_Gmag|RV|e_RV
Gaia DR2 4657679556232618496|084.72541860917| 0.0238|-69.13547528368| 0.0247|4657679556232618496|   -0.0148| 0.0251|    1.781| 0.047|    0.736| 0.048| 0.071|14.5184|0.0007|       |
Gaia DR2 4657679551902223616|084.71508843950| 0.0282|-69.13536264525| 0.0279|4657679551902223616|   -0.0968| 0.0282|    1.543| 0.054|    0.589| 0.052| 0.000|11.3501|0.0042|       |
Gaia DR2 4657679654981423744|084.66034884745| 0.0204|-69.10611321054| 0.0222|4657679654981423744|   -0.1205| 0.0209|    1.676| 0.042|    0.755| 0.044| 0.101|13.5420|0.0055|       |
Gaia DR2 4657679654981424640|084.66312122933| 0.0191|-69.10591381943| 0.0181|4657679654981424640|    0.0458| 0.0185|    1.699| 0.035|    0.607| 0.034| 0.000|13.2226|0.0012|       |
Gaia DR2 4657679934189686784|084.59281416229| 0.0323|-69.13078004240| 0.0333|4657679934189686784|    0.0411| 0.0328|    1.571| 0.062|    0.537| 0.064| 0.103|15.3432|0.0010|       |
Gaia DR2 4657680312146807040|084.59713871742| 0.0252|-69.12113216707| 0.0260|4657680312146807040|   -0.0571| 0.0244|    1.683| 0.049|    0.615| 0.048| 0.117|14.1293|0.0005|       |
Gaia DR2 4657680380866208768|084.64405496403| 0.0323|-69.11465700484| 0.0364|4657680380866208768|   -0.0037| 0.0335|    1.673| 0.063|    0.696| 0.070| 0.129|15.5622|0.0018|       |
Gaia DR2 4657680415225898368|084.62264138934| 0.0260|-69.08922156057| 0.0350|4657680415225898368|   -0.0461| 0.0322|    1.597| 0.049|    0.790| 0.058| 0.000|14.7665|0.0040|       |
Gaia DR2 4657680449585633280|084.58024428978| 0.0218|-69.10014472427| 0.0262|4657680449585633280|   -0.0359| 0.0224|    1.730| 0.042|    0.751| 0.049| 0.134|14.1117|0.0005|       |
Gaia DR2 4657680380866163456|084.61693632266| 0.0281|-69.10806966773| 0.0343|4657680380866163456|    0.0353| 0.0304|    1.750| 0.055|    0.734| 0.061| 0.152|14.9360|0.0008|       |
Gaia DR2 4657680410895734784|084.65057112510| 0.0279|-69.09943386456| 0.0310|4657680410895734784|    0.0901| 0.0282|    1.763| 0.054|    0.565| 0.059| 0.000|11.6454|0.0018|       |
Gaia DR2 4657680415225947008|084.64978093002| 0.0242|-69.10256887485| 0.0264|4657680415225947008|   -0.0373| 0.0235|    1.671| 0.046|    0.555| 0.063| 0.034|12.9699|0.0012|       |
Gaia DR2 4657680380866211200|084.65171573014| 0.0165|-69.11597911528| 0.0188|4657680380866211200|   -0.0051| 0.0172|    1.673| 0.032|    0.688| 0.035| 0.000|13.4744|0.0011|       |
Gaia DR2 4657680376535927040|084.65024910232| 0.0192|-69.11292761404| 0.0201|4657680376535927040|    0.0178| 0.0207|    1.696| 0.037|    0.606| 0.037| 0.000|13.4539|0.0013|       |
Gaia DR2 4657680376535927808|084.65359450840| 0.0246|-69.11281804722| 0.0291|4657680376535927808|   -0.0462| 0.0267|    1.686| 0.050|    0.659| 0.056| 0.000|14.9645|0.0019|       |
Gaia DR2 4657680513972093952|084.53994959385| 0.0282|-69.10591875808| 0.0287|4657680513972093952|   -0.0652| 0.0266|    1.707| 0.055|    0.628| 0.054| 0.000|10.1053|0.0028|       |
Gaia DR2 4657680518305213184|084.55011389775| 0.0198|-69.10948894485| 0.0197|4657680518305213184|   -0.0226| 0.0197|    1.704| 0.036|    0.621| 0.036| 0.000|13.5359|0.0007|       |
Gaia DR2 4657685397389361664|084.77032473374| 0.0203|-69.09457455346| 0.0227|4657685397389361664|    0.0282| 0.0216|    1.747| 0.038|    0.687| 0.042| 0.000|14.2123|0.0014|       |
Gaia DR2 4657685397389373184|084.79550535504| 0.0304|-69.10381371129| 0.0387|4657685397389373184|   -0.0650| 0.0323|    1.725| 0.057|    0.679| 0.070| 0.169|15.0366|0.0007|       |
Gaia DR2 4657685534807650304|084.68203658893| 0.0318|-69.09664802186| 0.0347|4657685534807650304|   -0.0908| 0.0333|    1.754| 0.060|    1.179| 0.064| 0.217|13.8391|0.0017|       |
Gaia DR2 4657685534828270976|084.67808840257| 0.0327|-69.09516871729| 0.0312|4657685534828270976|    0.0086| 0.0293|    1.706| 0.060|    0.646| 0.056| 0.000|11.7387|0.0020|       |
Gaia DR2 4657685534828272512|084.69036652325| 0.0278|-69.09417402371| 0.0334|4657685534828272512|    0.0102| 0.0325|    1.750| 0.053|    0.705| 0.068| 0.207|13.8885|0.0005|       |
Gaia DR2 4657685466088274688|084.71265145387| 0.0250|-69.09855210944| 0.0270|4657685466088274688|   -0.0313| 0.0254|    1.718| 0.048|    0.791| 0.051| 0.049|14.7076|0.0005|       |
Gaia DR2 4657685500468549248|084.71003208243| 0.0251|-69.09396032212| 0.0273|4657685500468549248|   -0.0717| 0.0255|    1.758| 0.047|    0.739| 0.050| 0.150|14.1453|0.0005|       |
Gaia DR2 4657685530545537920|084.68505361902| 0.0262|-69.09340202752| 0.0276|4657685530545537920|   -0.0869| 0.0264|    1.866| 0.052|    0.777| 0.053| 0.201|13.6041|0.0007|       |
Gaia DR2 4657685534828283904|084.69242900070| 0.0255|-69.10485223321| 0.0299|4657685534828283904|    0.0435| 0.0283|    1.868| 0.049|    1.086| 0.058| 0.190|13.7556|0.0007|       |
Gaia DR2 4657685461824464896|084.71270054137| 0.0216|-69.10569189233| 0.0253|4657685461824464896|    0.0792| 0.0256|    1.790| 0.041|    0.580| 0.052| 0.000|13.9592|0.0045|       |
Gaia DR2 4657685466108821376|084.72015939823| 0.0296|-69.10336444495| 0.0339|4657685466108821376|   -0.0012| 0.0318|    1.838| 0.057|    0.723| 0.067| 0.133|15.0378|0.0007|       |
Gaia DR2 4657685530496770944|084.68993509290| 0.0291|-69.09662826356| 0.0305|4657685530496770944|    0.0244| 0.0311|    1.836| 0.055|    0.774| 0.059| 0.000|12.4693|0.0013|       |
Gaia DR2 4657685500468553088|084.71690270325| 0.0306|-69.09274286605| 0.0389|4657685500468553088|   -0.0140| 0.0330|    1.702| 0.057|    0.726| 0.069| 0.104|15.2484|0.0067|       |
Gaia DR2 4657685534828230528|084.69496390873| 0.0252|-69.10088293708| 0.0256|4657685534828230528|    0.0564| 0.0282|    1.747| 0.048|    0.722| 0.050| 0.106|14.1771|0.0007|       |
Gaia DR2 4657685564856499328|084.66921439322| 0.0317|-69.08224189944| 0.0331|4657685564856499328|    0.0300| 0.0315|    1.567| 0.060|    0.657| 0.063| 0.153|15.1224|0.0016|       |
Gaia DR2 4657685461777222016|084.70945570874| 0.0242|-69.10123931149| 0.0285|4657685461777222016|   -0.0528| 0.0271|    1.710| 0.047|    0.746| 0.054| 0.000|14.9309|0.0008|       |
Gaia DR2 4657685569167418752|084.66451868162| 0.0346|-69.08622240850| 0.0348|4657685569167418752|   -0.0339| 0.0336|    1.753| 0.070|    0.895| 0.067| 0.242|14.5526|0.0009|       |
Gaia DR2 4657685500468567040|084.73779965983| 0.0272|-69.10156907412| 0.0303|4657685500468567040|    0.0037| 0.0283|    1.743| 0.052|    0.794| 0.054| 0.000|11.8292|0.0009|       |
Gaia DR2 4657685569188005248|084.67344046676| 0.0330|-69.08755072156| 0.0325|4657685569188005248|    0.0056| 0.0315|    1.919| 0.065|    0.779| 0.059| 0.000|12.4652|0.0048|       |
Gaia DR2 4657685564856502528|084.67649584601| 0.0320|-69.08282950609| 0.0304|4657685564856502528|   -0.2294| 0.0301|    1.450| 0.057|    0.957| 0.057| 0.000|11.9046|0.0006|       |
Gaia DR2 4657685569187906048|084.68570645211| 0.0313|-69.08090237087| 0.0323|4657685569187906048|   -0.0641| 0.0304|    1.612| 0.057|    0.806| 0.060| 0.186|13.8978|0.0009|       |
Gaia DR2 4657685706627204992|084.71388023579| 0.0325|-69.06904478310| 0.0356|4657685706627204992|   -0.0193| 0.0319|    1.566| 0.066|    0.732| 0.064| 0.000|15.3512|0.0015|       |
Gaia DR2 4657685672267222144|084.69391453939| 0.0208|-69.07445418421| 0.0226|4657685672267222144|   -0.0324| 0.0220|    1.640| 0.039|    0.773| 0.043| 0.073|13.9614|0.0006|       |
Gaia DR2 4657685672267128320|084.67104853627| 0.0288|-69.07357295395| 0.0305|4657685672267128320|    0.0532| 0.0306|    1.818| 0.054|    0.634| 0.059| 0.200|14.1415|0.0010|       |
Gaia DR2 4657686286410997504|084.65403136958| 0.0311|-69.08551760565| 0.0305|4657686286410997504|    0.0471| 0.0288|    1.886| 0.058|    0.908| 0.054| 0.000|12.0089|0.0014|       |
Gaia DR2 4657686290742451072|084.65847207089| 0.0333|-69.09537151337| 0.0343|4657686290742451072|   -0.0331| 0.0316|    1.729| 0.062|    0.848| 0.064| 0.190|14.6226|0.0013|       |
Gaia DR2 4657686355130457088|084.57350095305| 0.0169|-69.06997030835| 0.0176|4657686355130457088|   -0.0167| 0.0169|    1.682| 0.032|    0.580| 0.033| 0.000|13.2984|0.0011| 262.89| 1.94
Gaia DR2 4657686325102023552|084.64158528559| 0.0299|-69.07256167670| 0.0315|4657686325102023552|    0.0160| 0.0296|    1.925| 0.057|    0.777| 0.061| 0.200|14.2728|0.0006|       |
Gaia DR2 4657686290742282112|084.62498482621| 0.0287|-69.08478030102| 0.0310|4657686290742282112|   -0.0024| 0.0298|    1.764| 0.053|    0.729| 0.058| 0.156|14.7899|0.0009|       |
Gaia DR2 4657686290742293888|084.64010281492| 0.0268|-69.08069422563| 0.0281|4657686290742293888|   -0.0045| 0.0271|    1.758| 0.050|    0.674| 0.055| 0.000|12.6989|0.0014|       |
Gaia DR2 4657686286410990464|084.63462617322| 0.0295|-69.08995929971| 0.0321|4657686286410990464|    0.0234| 0.0307|    1.809| 0.055|    0.783| 0.061| 0.214|14.5588|0.0011|       |
Gaia DR2 4657686359461706112|084.57498012030| 0.0325|-69.06934861299| 0.0358|4657686359461706112|    0.0339| 0.0336|    1.656| 0.061|    0.676| 0.068| 0.210|14.9569|0.0009|       |
Gaia DR2 4657686393821466240|084.58718895988| 0.0204|-69.06389128337| 0.0216|4657686393821466240|   -0.0195| 0.0198|    1.689| 0.039|    0.665| 0.041| 0.000|13.6380|0.0005|       |
Gaia DR2 4657686286459828992|084.65723134048| 0.0271|-69.08918599797| 0.0297|4657686286459828992|    0.0040| 0.0287|    1.835| 0.050|    0.923| 0.055| 0.215|13.5448|0.0008|       |

