#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-01T11:24:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ae6c6f14a55	
#INFO	-out.form=mini	
#INFO	-out.max=9999	
#INFO	queryParameters=24	
#-oc.form=dec
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&pos:VFTS 682( 10 arcmin J2000)&HTTPPRM:&&-ref=VIZ5ae6c6f14a55&-oc.form=dec&-c.r=25&-c.geom=b&-order=I&-out.orig=standard&-out=designation&-out=ra&-out=ra_error&-out=dec&-out=dec_error&-out=parallax&-out=parallax_error&-out=pmra&-out=pmra_error&-out=pmdec&-out=pmdec_error&-out=radial_velocity&-out=radial_velocity_error&-file=-c&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=| -Separated-Values&-c.eq=J2000&-c.u=arcsec&
#-out.add=_1
#-c.r=0
#-c.geom=b
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=RV
#-out=e_RV
#-out.max=9999
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	_1	(A24)	The original question (from your input file)	[ucd=meta.id]
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
_1|DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|RV|e_RV
                        |Gaia DR2 4038916227902647296|270.66131547727| 0.1750|-35.84733053219| 0.1553|   -0.0937| 0.2011|   -4.290| 0.301|   -5.812| 0.261|       |
                        |Gaia DR2 4038916227905049856|270.66196340186| 0.7889|-35.84718484313| 0.9081|    0.6958| 0.8097|   -1.344| 1.914|   -6.423| 1.526|       |
                        |Gaia DR2 4038916227902640384|270.66303422684| 0.5414|-35.84614895591| 0.5379|    0.5014| 0.7202|   -1.727| 1.005|   -6.629| 0.957|       |
                        |Gaia DR2 4038916227902662272|270.66064812428| 0.4594|-35.84697444798| 0.4183|    0.5426| 0.5357|   -3.413| 0.792|   -2.991| 0.703|       |
                        |Gaia DR2 4038916227902661504|270.66131582396| 1.2150|-35.84624434213| 0.9809|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902694528|270.65938315551| 1.8600|-35.84621389117| 1.3079|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902661760|270.66153083947| 0.7547|-35.84641617261| 0.7097|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902678528|270.66027246708| 1.0258|-35.84640451233| 0.9433|   -0.9882| 0.8495|    3.043| 1.727|   -5.482| 1.561|       |
                        |Gaia DR2 4038916227902662400|270.66112060576| 0.3817|-35.84675790855| 0.3083|   -0.3696| 0.4451|    0.932| 0.605|   -1.810| 0.526|       |
                        |Gaia DR2 4038916227902666496|270.66239836156| 0.3054|-35.84516575727| 0.3012|    0.1135| 0.3687|   -0.816| 0.567|   -4.529| 0.479|       |
                        |Gaia DR2 4038916227902661632|270.66164794668| 0.2040|-35.84562113929| 0.1849|   -0.1143| 0.2448|   -5.214| 0.351|  -11.403| 0.306|       |
                        |Gaia DR2 4038916227902689664|270.66166658881| 0.6400|-35.84463704711| 0.4904|    0.3783| 0.9907|   -1.313| 0.862|   -3.356| 0.788|       |
                        |Gaia DR2 4038916227902670848|270.66276273910| 5.6698|-35.84475607440| 4.8047|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916228008659072|270.66399172265| 0.7232|-35.84478023116| 0.6794|    1.0101| 0.9753|    3.608| 1.304|    1.416| 1.121|       |
                        |Gaia DR2 4038916227902637440|270.66434237594| 0.1946|-35.84522181069| 0.1661|    0.0904| 0.2435|   -0.627| 0.319|   -3.300| 0.272|       |
                        |Gaia DR2 4038916227902640256|270.66649971370| 0.6270|-35.84319260913| 0.6423|   -0.8562| 0.7201|   -0.371| 1.388|   -3.795| 1.281|       |
                        |Gaia DR2 4038916227902659072|270.66563938619| 2.0224|-35.84297249993| 2.8121|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902646400|270.66543826781| 0.9161|-35.84380419705| 0.8671|    1.1424| 1.3150|   -3.255| 1.712|   -2.966| 1.471|       |
                        |Gaia DR2 4038916227902690944|270.66289530910| 0.1064|-35.84352976861| 0.0986|    0.0512| 0.1600|   -0.735| 0.158|   -5.882| 0.145|       |
                        |Gaia DR2 4038916227902657408|270.66396986263| 0.1847|-35.84390854389| 0.1711|   -0.4921| 0.2367|   -1.301| 0.321|   -3.310| 0.287|       |
                        |Gaia DR2 4038916227902678400|270.66411643387| 0.3997|-35.84309271751| 0.3675|   -0.3699| 0.6232|    0.997| 0.605|   -2.533| 0.560|       |
                        |Gaia DR2 4038916227902665984|270.66355085902| 0.6066|-35.84443216866| 0.5562|   -0.8261| 0.8935|   -7.306| 1.115|   -5.825| 1.274|       |
                        |Gaia DR2 4038916223605663616|270.66395273851| 0.2038|-35.84172037054| 0.1612|    0.2243| 0.2519|    2.149| 0.287|   -0.508| 0.257|       |
                        |Gaia DR2 4038916227905340288|270.66449814844| 3.6324|-35.84112756234| 0.6959|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916223586974848|270.66933450920| 0.1265|-35.84483311725| 0.1110|   -0.1993| 0.1490|   -2.715| 0.220|   -6.953| 0.197|       |
                        |Gaia DR2 4038916227902567296|270.66997148601| 0.8869|-35.84394468601| 0.8442|    2.5148| 0.7947|   -5.694| 1.695|   -8.282| 1.479|       |
                        |Gaia DR2 4038916227902528896|270.67115002759| 7.0434|-35.84502710407| 7.3231|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902532480|270.67035993028| 6.0192|-35.84544828195| 8.3183|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902528768|270.67110765725| 0.3187|-35.84482102373| 0.2862|    0.2151| 0.3779|   -5.446| 0.607|   -6.326| 0.563|       |
                        |Gaia DR2 4038916227902531712|270.67281429904| 0.7246|-35.84335835268| 0.7768|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902554112|270.67134649507|33.8213|-35.84354883084|33.2734|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902553984|270.67090315499| 5.7081|-35.84330168333| 4.9920|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916223586975360|270.67117550109| 0.2226|-35.84316468738| 0.1917|    0.3309| 0.2639|   -2.365| 0.373|   -6.670| 0.335|       |
                        |Gaia DR2 4038916227902531968|270.67220615471| 1.0669|-35.84386920859| 0.6894|   -4.7909| 1.0313|    0.610| 1.458|   -5.409| 1.168|       |
                        |Gaia DR2 4038916227902544640|270.67215343284| 0.4921|-35.84332205124| 0.5165|   -0.4584| 0.4720|    1.237| 1.039|   -8.579| 0.852|       |
                        |Gaia DR2 4038916227902531840|270.67230521307| 2.5249|-35.84378557722| 4.2654|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916223580581248|270.66870789312| 0.0785|-35.84304658257| 0.0688|   -0.0216| 0.0890|   -3.175| 0.132|   -4.611| 0.113|       |
                        |Gaia DR2 4038916227902601472|270.66824848689| 0.8322|-35.84380160521| 0.8423|   -3.7939| 0.8172|   -9.869| 1.656|  -10.323| 1.383|       |
                        |Gaia DR2 4038916227906324352|270.66893292411| 3.2730|-35.84353923775| 3.0266|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902585344|270.66955802258| 1.0740|-35.84345028519| 1.0969|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916228008655232|270.66844089051| 0.7280|-35.84270996431| 0.6280|    0.9950| 0.9457|   -3.912| 1.121|   -5.671| 1.070|       |
                        |Gaia DR2 4038916223580590080|270.66973438350| 0.1056|-35.84170990502| 0.0921|   -0.0572| 0.1205|   -3.005| 0.183|   -8.773| 0.160|       |
                        |Gaia DR2 4038916227902592640|270.67113341160| 0.3206|-35.84172382384| 0.2895|   -0.0875| 0.3734|   -1.129| 0.603|   -3.276| 0.545|       |
                        |Gaia DR2 4038916227902572672|270.67184598834| 0.5679|-35.84165090960| 0.5055|   -0.3653| 0.6134|    2.990| 1.056|   -8.193| 0.961|       |
                        |Gaia DR2 4038916227902588160|270.67436514504| 6.0602|-35.83915234724| 5.2922|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902549504|270.67477101851| 0.3553|-35.84084691588| 0.3133|   -0.3028| 0.4134|   -5.798| 0.739|  -10.245| 0.705|       |
                        |Gaia DR2 4038916227902580608|270.67404039940| 0.8447|-35.83984791079| 0.7038|    5.8388| 0.9226|    3.436| 1.397|   -4.474| 1.192|       |
                        |Gaia DR2 4038916228009060352|270.67174581487| 3.1083|-35.84071021093| 3.4050|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902572544|270.67177709343| 2.2612|-35.84142666969| 2.0588|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916228008652672|270.67268502228| 0.0638|-35.84070668370| 0.0558|    0.0040| 0.0736|   -2.869| 0.107|   -3.559| 0.093|       |
                        |Gaia DR2 4038916227902625280|270.67240719031| 0.7012|-35.83908248953| 0.6913|    0.3054| 0.7806|   -8.848| 1.595|   -6.134| 1.510|       |
                        |Gaia DR2 4038916227902588032|270.67372623903| 0.4475|-35.83918573040| 0.3914|    0.6754| 0.4949|    0.392| 0.888|   -6.244| 0.809|       |
                        |Gaia DR2 4038916227902635904|270.67176722656| 0.9096|-35.83893416148| 0.5333|    3.2184| 1.1952|  -12.518| 1.068|   -4.577| 0.924|       |
                        |Gaia DR2 4038916223605842432|270.67411242970| 0.2541|-35.83919659061| 0.2221|   -0.1379| 0.2812|   -0.014| 0.428|   -3.945| 0.365|       |
                        |Gaia DR2 4038916227902674048|270.66699689362| 0.7905|-35.84094278203| 0.6295|   -0.7208| 0.9212|   -0.245| 1.216|   -2.980| 1.121|       |
                        |Gaia DR2 4038916227902634240|270.66896328829| 0.2558|-35.84145343140| 0.2244|    0.4590| 0.3006|    1.247| 0.429|   -3.501| 0.373|       |
                        |Gaia DR2 4038916227902674688|270.66883702026| 0.5199|-35.83934576208| 0.4170|    0.0951| 0.6474|   -1.905| 0.783|   -6.208| 0.688|       |
                        |Gaia DR2 4038916228008661120|270.66892853167| 0.0850|-35.84034156701| 0.0739|    0.1571| 0.0963|   -1.856| 0.142|   -1.494| 0.122|       |
                        |Gaia DR2 4038916227902694144|270.66587738162| 1.1547|-35.84066519338| 0.9996|   -0.8678| 1.3685|   -3.069| 2.115|   -3.324| 1.843|       |
                        |Gaia DR2 4038916227902699520|270.66683769359| 1.1774|-35.83956919790| 0.9958|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916223605663872|270.67053297738| 0.1409|-35.83890627545| 0.1221|    0.1999| 0.1602|   -3.235| 0.241|   -6.100| 0.211|       |
                        |Gaia DR2 4038916227902681472|270.66907017425|33.5180|-35.83878691418|33.1214|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902663808|270.67127530150| 0.8581|-35.83789335037| 0.9707|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902676992|270.67168453308|15.7958|-35.83670214456|16.4559|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916223605664512|270.67129932694|51.7694|-35.83654218790|51.5364|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916223605664384|270.67087267762| 0.2836|-35.83742301524| 0.2133|    0.1248| 0.3502|    2.344| 0.376|   -6.086| 0.337|       |
                        |Gaia DR2 4038916227902708608|270.66876434972| 9.3230|-35.83735849167| 7.9396|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902728960|270.66812399043| 0.2709|-35.83709107216| 0.2220|    0.3495| 0.3418|   -2.793| 0.394|   -8.693| 0.354|       |
                        |Gaia DR2 4038916227902696192|270.66908169247| 0.6626|-35.83783976868| 0.5240|    0.8610| 0.8620|   -7.303| 0.990|   -5.491| 0.863|       |
                        |Gaia DR2 4038916223605663744|270.66922401356| 0.3782|-35.83846131718| 0.3025|    0.2688| 0.4852|   -2.548| 0.524|   -4.248| 0.477|       |
                        |Gaia DR2 4038916227902708736|270.66902071237| 0.5888|-35.83726072956| 0.4438|   -0.5975| 0.7307|   -1.769| 0.841|   -3.505| 0.732|       |
                        |Gaia DR2 4038916227902681344|270.66881889318| 0.4493|-35.83851312460| 0.3611|   -0.6593| 0.5978|    0.844| 0.641|   -6.443| 0.606|       |
                        |Gaia DR2 4038916227902710656|270.66953047933| 0.3815|-35.83669769416| 0.2903|   -0.3199| 0.4766|   -0.675| 0.522|   -6.448| 0.464|       |
                        |Gaia DR2 4038916227902676864|270.67098970840| 0.4167|-35.83629256098| 0.3207|    0.3242| 0.5114|   -4.216| 0.553|   -5.099| 0.500|       |
                        |Gaia DR2 4038916262262443776|270.64757461108| 0.5956|-35.85583535500| 0.4105|    1.6559| 0.7241|   -0.807| 0.744|   -8.075| 0.680|       |
                        |Gaia DR2 4038916262368401280|270.64811665746| 2.1937|-35.85721242037| 2.9269|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916262262452480|270.64773306482| 0.5434|-35.85505473367| 0.4627|    0.1684| 0.5911|    1.245| 0.892|   -4.982| 0.777|       |
                        |Gaia DR2 4038916257946707712|270.64592816952| 0.1034|-35.85438730569| 0.0888|    0.0035| 0.1098|   -3.722| 0.163|   -6.583| 0.141|       |
                        |Gaia DR2 4038916262264797440|270.64919712609|33.8806|-35.85332635612|33.3822|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916262262483200|270.64747457824| 0.4135|-35.85386707677| 0.3678|    0.2805| 0.4571|   -2.126| 0.611|   -3.167| 0.557|       |
                        |Gaia DR2 4038916262262468480|270.64791196347| 4.9079|-35.85436072107| 4.6942|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916262262435968|270.65092708922| 0.7639|-35.85337387620| 0.6427|    0.7347| 0.9423|   -2.440| 1.284|   -8.896| 1.085|       |
                        |Gaia DR2 4038916262262451840|270.65106142535| 0.8451|-35.85230418980| 0.7490|    1.1349| 1.1128|   -2.065| 1.307|    0.106| 1.180|       |
                        |Gaia DR2 4038916262262426752|270.65080472743| 0.1548|-35.85401445366| 0.1293|    0.4077| 0.1806|   -1.834| 0.230|   -3.882| 0.205|       |
                        |Gaia DR2 4038916262262398208|270.65088696137| 0.1518|-35.85475984352| 0.1366|   -0.1597| 0.1694|   -2.975| 0.262|   -5.163| 0.225|       |
                        |Gaia DR2 4038916262262440960|270.65251678005| 1.2050|-35.85163299905| 0.9708|    2.7052| 1.7022|   -4.494| 1.791|  -12.229| 1.522|       |
                        |Gaia DR2 4038916262262467968|270.64916919407| 2.3574|-35.85275693243| 1.5168|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916262262468096|270.64966102056| 0.8790|-35.85293572988| 0.6222|    3.0490| 1.0876|   -4.543| 1.233|   -5.588| 1.045|       |
                        |Gaia DR2 4038916257965031040|270.65044261464| 0.1324|-35.85235745028| 0.1116|    0.1074| 0.1501|   -3.496| 0.189|   -6.243| 0.172|       |
                        |Gaia DR2 4038916262262496768|270.64970090114| 0.6706|-35.85115369373| 0.6108|    0.8877| 0.5880|   -2.090| 1.040|   -4.367| 0.925|       |
                        |Gaia DR2 4038916262262498816|270.64839422395| 0.2382|-35.85215802418| 0.1965|   -0.5137| 0.2572|   -0.161| 0.344|   -5.373| 0.302|       |
                        |Gaia DR2 4038916262262467840|270.64934900908| 0.5830|-35.85233002291| 0.5123|    0.1313| 0.6645|   -4.146| 0.917|   -5.580| 0.817|       |
                        |Gaia DR2 4038916262262513536|270.65072301697| 0.5977|-35.84936693071| 0.5317|    0.8605| 0.6987|   -0.169| 1.074|   -3.024| 1.005|       |
                        |Gaia DR2 4038916262264801280|270.65084301516| 0.5148|-35.85030700029| 0.4306|   -1.0424| 0.5572|   -5.899| 0.799|   -6.266| 0.701|       |
                        |Gaia DR2 4038916262368411264|270.65096540420| 0.3640|-35.85140937639| 0.3173|    0.4611| 0.3973|   -0.756| 0.520|   -3.548| 0.476|       |
                        |Gaia DR2 4038916262264801024|270.65032126015| 0.6636|-35.85084355736| 0.5987|   -0.4961| 0.8040|   -2.222| 1.069|   -7.757| 0.936|       |
                        |Gaia DR2 4038916262265232128|270.64514110330| 0.4650|-35.85428109789| 1.3417|   -2.2915| 1.6120|    0.289| 0.766|   -4.479| 0.688|       |
                        |Gaia DR2 4038916262262496896|270.64618274504| 0.3307|-35.85396853208| 0.2489|    3.1303| 0.3372|   -4.838| 0.435|   -7.753| 0.369|       |
                        |Gaia DR2 4038916262262505856|270.64714904725| 0.6047|-35.85285467070| 0.5254|   -0.0787| 0.6903|    1.513| 0.970|   -2.287| 0.856|       |
                        |Gaia DR2 4038916262262519680|270.64702920942| 0.2832|-35.85208047369| 0.2460|   -0.1968| 0.3100|   -2.604| 0.427|   -4.365| 0.379|       |
                        |Gaia DR2 4038916262262553216|270.64508383366| 3.8137|-35.85174561203| 4.9812|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916262262582528|270.64384423854| 3.3528|-35.85179039548| 2.3990|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916262262580608|270.64327582074| 0.3724|-35.85181376134| 0.3361|    1.2437| 0.4018|    0.916| 0.666|   -4.072| 0.571|       |
                        |Gaia DR2 4038916262262553088|270.64458183314| 0.3852|-35.85175398153| 0.3493|   -0.0949| 0.4376|   -3.540| 0.723|   -6.228| 0.645|       |
                        |Gaia DR2 4038916262368427776|270.64370007158| 0.0514|-35.85140041483| 0.0459|    0.0883| 0.0549|   -0.121| 0.091|   -8.508| 0.076|       |
                        |Gaia DR2 4038916262262589056|270.64499549035| 0.4192|-35.84993475803| 0.4126|   -0.1149| 0.4568|   -6.913| 0.926|  -10.845| 0.830|       |
                        |Gaia DR2 4038916257965397760|270.64567569887| 0.3249|-35.85062303097| 0.2707|    0.3712| 0.4029|   -0.297| 0.483|   -2.735| 0.433|       |
                        |Gaia DR2 4038916262262509440|270.64853434037| 0.6419|-35.85128785281| 0.4866|    0.1385| 0.7364|   -4.997| 0.989|   -7.868| 0.831|       |
                        |Gaia DR2 4038916262262509312|270.64785511676| 0.4293|-35.85150014644| 0.3857|    0.2960| 0.4860|   -2.543| 0.712|    2.528| 0.628|       |
                        |Gaia DR2 4038916262264802048|270.64999638679| 4.0681|-35.84986864169| 4.3483|          |       |         |      |         |      |       |
