#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-04-29T19:19:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ae6170c1272	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&&-ref=VIZ5ae6170c1272&-file=.&-oc.form=dec&-c.r=100&-c.geom=r&-order=I&-out.form=verb&-out.orig=standard&-out=DR2Name&-out=RA_ICRS&-out=e_RA_ICRS&-out=DE_ICRS&-out=e_DE_ICRS&-out=Plx&-out=e_Plx&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=RV&-out=e_RV&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=| -Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c=VFTS 682
#-c.eq=J2000
#-c.r=1
#-c.u=arcmin
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=RV
#-out=e_RV
#
#INFO	-c=084.731358-69.074089,rm=1.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|RV|e_RV
Gaia DR2 4657685569187900032|084.69336972366| 4.4033|-69.08361865400| 1.9815|          |       |         |      |         |      |       |
Gaia DR2 4657685633625033472|084.74947644953| 5.0929|-69.07364542549| 3.7624|          |       |         |      |         |      |       |
Gaia DR2 4657685667984470144|084.69643183370| 0.1625|-69.08042430355| 0.1988|   -0.0630| 0.2040|    1.459| 0.320|    1.332| 0.348|       |
Gaia DR2 4657685672267682048|084.70437671459|14.4348|-69.07547390375| 5.0165|          |       |         |      |         |      |       |
Gaia DR2 4657685667984501888|084.70529373934| 0.5887|-69.07747576605| 0.5271|   -0.8228| 0.5270|    0.491| 1.148|    2.623| 0.967|       |
Gaia DR2 4657685706606412416|084.70838652496| 2.2582|-69.07096430828| 3.7240|          |       |         |      |         |      |       |
Gaia DR2 4657685633625034240|084.75149950039|13.4559|-69.07595001135| 6.9886|          |       |         |      |         |      |       |
Gaia DR2 4657685633625034112|084.75086207264| 4.7801|-69.07991370017| 2.9829|          |       |         |      |         |      |       |
Gaia DR2 4657685633625015808|084.72907502585| 0.5484|-69.07703128261| 0.5911|   -0.6644| 0.5496|    1.969| 1.095|   -0.017| 1.265|       |
Gaia DR2 4657685667984708608|084.69149922746| 0.7396|-69.07850554610| 0.8308|          |       |         |      |         |      |       |
Gaia DR2 4657685672247062144|084.69443331300| 0.6219|-69.07036563977| 0.4573|    0.2853| 0.5513|    2.629| 1.016|    3.346| 0.908|       |
Gaia DR2 4657685667935723776|084.68786000638| 0.0551|-69.07100798795| 0.0639|   -0.0033| 0.0656|    2.031| 0.102|    0.687| 0.119|       |
Gaia DR2 4657685603526974592|084.72163574695| 1.1204|-69.08096422964| 1.3418|          |       |         |      |         |      |       |
Gaia DR2 4657685637907931136|084.73990693199| 2.1376|-69.07985246967| 2.2789|          |       |         |      |         |      |       |
Gaia DR2 4657685702344449408|084.69262622872| 0.7800|-69.06621806135| 0.5588|    0.3158| 0.5399|    2.386| 1.561|   -1.537| 1.097|       |
Gaia DR2 4657685667984703744|084.68851446634| 1.1371|-69.06803832614| 0.8009|    0.1389| 0.9721|    0.937| 2.086|    0.068| 1.643|       |
Gaia DR2 4657685702344239488|084.70487633293| 2.7252|-69.07001828813| 3.0442|          |       |         |      |         |      |       |
Gaia DR2 4657685672247518848|084.70863392032| 5.2143|-69.08077615073| 2.9715|          |       |         |      |         |      |       |
Gaia DR2 4657685633625039616|084.76088977092| 1.0465|-69.08484166463| 1.1505|    1.4593| 0.9760|    1.026| 2.092|   -1.790| 2.340|       |
Gaia DR2 4657685633575997440|084.73270105226| 0.1117|-69.07005356281| 0.1464|    0.0081| 0.1264|    1.521| 0.216|    0.883| 0.261|       |
Gaia DR2 4657685667984705920|084.68963175094| 3.3148|-69.07429710545| 1.8931|          |       |         |      |         |      |       |
Gaia DR2 4657685667984469888|084.69558838827| 0.2111|-69.07677597896| 0.2489|    0.0967| 0.2274|    1.883| 0.391|   -1.813| 0.464|       |
Gaia DR2 4657685667984469632|084.69317174863| 0.0813|-69.07598442862| 0.1009|    0.0713| 0.0875|    2.069| 0.160|    0.822| 0.192|       |
Gaia DR2 4657685667984469120|084.68827527343| 0.1138|-69.07150279976| 0.1314|   -0.0247| 0.1470|    1.616| 0.215|    0.874| 0.265|       |
Gaia DR2 4657685599216261376|084.74489319364| 0.0442|-69.08999400796| 0.0633|    0.0234| 0.0573|    1.963| 0.083|    0.579| 0.104|       |
Gaia DR2 4657685637907953408|084.73122346456|10.2695|-69.06837110741|13.8914|          |       |         |      |         |      |       |
Gaia DR2 4657685667984717056|084.69747133988| 0.9663|-69.07345792535| 0.7375|    1.0200| 0.8361|    2.735| 1.560|    1.726| 1.378|       |
Gaia DR2 4657685603547654912|084.71330160273| 1.4658|-69.08452434950| 1.9602|          |       |         |      |         |      |       |
Gaia DR2 4657685599265543424|084.72653590568| 2.1540|-69.08236739807| 4.9037|          |       |         |      |         |      |       |
Gaia DR2 4657685672246459520|084.70276538416| 0.1212|-69.08302373504| 0.1301|   -0.4242| 0.1209|    0.391| 0.232|    1.105| 0.246|       |
Gaia DR2 4657685603527595392|084.73211461024| 1.0438|-69.08854320569| 1.9231|          |       |         |      |         |      |       |
Gaia DR2 4657685633575995264|084.72134243394| 0.0742|-69.06774333295| 0.0866|    0.3267| 0.0747|    3.782| 0.142|    7.314| 0.162|       |
Gaia DR2 4657685637887334912|084.76021937951| 0.6286|-69.07603570001| 0.6740|   -0.3020| 0.6117|    0.650| 1.270|    2.250| 1.314|       |
Gaia DR2 4657685672246683904|084.71102242396| 0.4775|-69.07868932897| 0.5967|   -0.0956| 0.5317|    2.519| 0.939|    1.583| 1.061|       |
Gaia DR2 4657685637887334528|084.75158004078| 0.8165|-69.07793961130| 0.9575|   -0.9132| 0.8361|    4.546| 1.573|    2.532| 2.036|       |
Gaia DR2 4657685637887426944|084.75257235158| 1.2071|-69.07212445336| 1.4378|          |       |         |      |         |      |       |
Gaia DR2 4657685637887427968|084.74501193132| 0.7125|-69.08143782250| 1.0602|   -0.3809| 0.8050|    3.253| 1.364|    1.996| 1.860|       |
Gaia DR2 4657685667984712960|084.69355410211| 2.3491|-69.07355110677| 1.9405|          |       |         |      |         |      |       |
Gaia DR2 4657685637887654528|084.75949301209| 2.6430|-69.07674011586| 2.4237|          |       |         |      |         |      |       |
Gaia DR2 4657685672267527040|084.69477123438| 0.8595|-69.08088246098| 0.8404|          |       |         |      |         |      |       |
Gaia DR2 4657685672267526912|084.69047144018| 1.1297|-69.08045616706| 0.9836|          |       |         |      |         |      |       |
Gaia DR2 4657685672267224960|084.70335515501| 7.8755|-69.07953359451|14.2708|          |       |         |      |         |      |       |
Gaia DR2 4657685702344462464|084.70110235163| 2.7841|-69.06528236147| 1.6077|          |       |         |      |         |      |       |
Gaia DR2 4657685672267218560|084.69271535239| 4.8543|-69.07270621380| 3.3446|          |       |         |      |         |      |       |
Gaia DR2 4657685672267527680|084.71003125396| 0.6915|-69.08044558376| 0.6678|   -2.1228| 0.6599|   -0.175| 1.257|    5.604| 1.367|       |
Gaia DR2 4657685672267218176|084.69405331180| 0.5261|-69.07277993397| 0.5037|    0.8398| 0.6171|    2.343| 0.910|    1.031| 0.985|       |
Gaia DR2 4657685672267527552|084.70214486893| 0.0636|-69.08088883473| 0.0659|    0.0183| 0.0596|    1.708| 0.126|    0.927| 0.124|       |
Gaia DR2 4657685672267225216|084.70145802795| 0.8656|-69.07818686833| 1.0574|          |       |         |      |         |      |       |
Gaia DR2 4657685672267225088|084.69828813809| 0.0998|-69.07721352711| 0.1163|    0.1442| 0.1059|    1.506| 0.197|    0.383| 0.214|       |
Gaia DR2 4657685599265108608|084.72194365157| 1.3296|-69.08509019117| 0.9887|          |       |         |      |         |      |       |
Gaia DR2 4657685672267219584|084.68615659863| 0.0834|-69.07360139248| 0.0972|   -0.0372| 0.0951|    1.795| 0.152|    1.003| 0.185|       |
Gaia DR2 4657685633624767872|084.73021734009| 0.1170|-69.07651192472| 0.1507|    0.0346| 0.1299|    1.607| 0.227|    1.498| 0.269|       |
Gaia DR2 4657685672247402752|084.71026894784| 1.4672|-69.08135417728| 1.3714|          |       |         |      |         |      |       |
Gaia DR2 4657685667984721664|084.69935997438| 3.6454|-69.07559125028| 2.2121|          |       |         |      |         |      |       |
Gaia DR2 4657685667984722560|084.70023120819|15.9269|-69.07994016293| 9.8942|          |       |         |      |         |      |       |
Gaia DR2 4657685599265548800|084.72558564299| 0.4733|-69.08620907382| 0.5380|    1.0743| 0.5076|    1.201| 0.903|    1.107| 1.047|       |
Gaia DR2 4657685706607246976|084.71320244943| 2.5112|-69.07113005350| 1.5406|          |       |         |      |         |      |       |
Gaia DR2 4657685603527233792|084.72853779115| 0.6537|-69.08205278748| 0.7923|   -0.2539| 0.5728|    2.702| 1.222|    2.351| 1.437|       |
Gaia DR2 4657685667984567040|084.69216255201| 0.8312|-69.07440508748| 2.9354|          |       |         |      |         |      |       |
Gaia DR2 4657685603547781632|084.74864062842| 0.5679|-69.08879811881| 0.8669|    0.7533| 0.7191|    3.356| 1.071|   -1.137| 1.466|       |
Gaia DR2 4657685706627205120|084.71663260337| 0.2580|-69.06563569541| 0.2271|   -0.1301| 0.2055|    1.766| 0.561|    0.645| 0.443|       |
Gaia DR2 4657685672267464064|084.69171671807| 0.1032|-69.07679583298| 0.1173|    0.0219| 0.1084|    1.586| 0.200|    0.830| 0.219|       |
Gaia DR2 4657685672267466240|084.70600002629| 1.4560|-69.07470732123| 1.1600|          |       |         |      |         |      |       |
Gaia DR2 4657685637887659904|084.74355494990| 4.4879|-69.08106187213| 3.8373|          |       |         |      |         |      |       |
Gaia DR2 4657685706627204736|084.71291586373| 0.1990|-69.06847130299| 0.2221|   -0.1924| 0.1924|    1.235| 0.412|    1.191| 0.417|       |
Gaia DR2 4657685637887663360|084.72211606125| 3.7625|-69.07514078841| 2.4655|          |       |         |      |         |      |       |
Gaia DR2 4657685706627204864|084.71410581179| 0.6500|-69.06812648031| 0.6146|    0.6911| 0.5709|    2.720| 1.351|    0.359| 1.155|       |
Gaia DR2 4657685702318562176|084.70875905403| 1.2471|-69.06323986702| 0.7747|    0.3734| 0.7660|    1.641| 2.580|    1.740| 1.553|       |
Gaia DR2 4657685667984562304|084.68755718831| 0.6589|-69.06941400226| 0.6358|    0.3865| 0.6690|    1.862| 1.256|    1.263| 1.246|       |
Gaia DR2 4657685637887423232|084.72063001859| 1.4875|-69.06550049031| 1.1363|          |       |         |      |         |      |       |
Gaia DR2 4657685603527924864|084.72020724063| 2.3882|-69.08473578916| 2.7800|          |       |         |      |         |      |       |
Gaia DR2 4657685672267092608|084.68778126241| 0.1803|-69.07971950390| 0.2005|   -0.2315| 0.1926|    1.000| 0.320|    1.187| 0.356|       |
Gaia DR2 4657685637907732608|084.76361227267| 0.4111|-69.07510564832| 0.4987|   -0.4961| 0.4144|    0.937| 0.804|    2.254| 0.957|       |
Gaia DR2 4657685672267092352|084.68773341969| 1.2463|-69.07942550193| 0.6540|          |       |         |      |         |      |       |
Gaia DR2 4657685637887661696|084.73688822513| 1.7911|-69.07914257916| 2.4942|          |       |         |      |         |      |       |
Gaia DR2 4657685706626967296|084.70883555253| 0.1778|-69.07106792330| 0.2109|   -0.9536| 0.1935|    1.520| 0.334|    1.148| 0.390|       |
Gaia DR2 4657685603527922688|084.73554476973| 1.8881|-69.08698571519| 8.6892|          |       |         |      |         |      |       |
Gaia DR2 4657685702344468992|084.70555155614| 1.0629|-69.07000371264| 1.1645|          |       |         |      |         |      |       |
Gaia DR2 4657685637907731200|084.72988750807| 1.0477|-69.06791622362| 1.0575|    1.1595| 1.0683|    1.570| 2.040|    0.085| 1.945|       |
Gaia DR2 4657685702344469120|084.70617962842| 2.5954|-69.06673476803| 1.4438|          |       |         |      |         |      |       |
Gaia DR2 4657685706606900608|084.71036368407| 1.0800|-69.07057062107| 0.7067|   -0.2476| 0.6808|    5.963| 2.464|    0.849| 1.362|       |
Gaia DR2 4657685706606385152|084.69038799908| 0.4789|-69.06677554419| 0.4444|   -1.0624| 0.4963|    1.457| 0.831|    3.264| 0.882|       |
Gaia DR2 4657685702344467584|084.70513072584| 2.2372|-69.06280353442| 1.2765|          |       |         |      |         |      |       |
Gaia DR2 4657685706606900864|084.71213755955| 0.9669|-69.07044810249| 0.9341|   -0.8006| 0.8529|    2.989| 2.078|    3.145| 1.697|       |
Gaia DR2 4657685633625307392|084.73822797893| 8.6704|-69.07649450259| 8.1624|          |       |         |      |         |      |       |
Gaia DR2 4657685672267089280|084.70711154666| 4.2166|-69.08344875672| 3.4406|          |       |         |      |         |      |       |
Gaia DR2 4657685667984498176|084.69472314928| 0.2570|-69.07079843096| 0.2560|   -0.2241| 0.2837|    2.008| 0.450|    1.556| 0.482|       |
Gaia DR2 4657685706607244032|084.70964755790| 2.4867|-69.06467578265| 1.4209|          |       |         |      |         |      |       |
Gaia DR2 4657685667984569600|084.69426651619| 0.5844|-69.06932670576| 0.4993|    0.8025| 0.5240|    5.078| 1.016|   -5.238| 0.947|       |
Gaia DR2 4657685603547672064|084.71964902744|11.2905|-69.08351819294|10.0442|          |       |         |      |         |      |       |
Gaia DR2 4657685637887767040|084.72688081470| 5.3829|-69.06806703432| 5.3814|          |       |         |      |         |      |       |
Gaia DR2 4657685637907503744|084.73136339876| 0.0363|-69.07411071795| 0.0483|   -0.0221| 0.0436|    1.843| 0.070|    0.786| 0.080|       |
Gaia DR2 4657685637907496576|084.72763044356| 0.4750|-69.06612514661| 0.5405|    0.2247| 0.4859|    3.183| 0.904|    1.548| 0.955|       |
Gaia DR2 4657685637907503488|084.73749061239| 0.1361|-69.06807762726| 0.1512|   -0.1189| 0.1423|    2.085| 0.248|    1.115| 0.274|       |
Gaia DR2 4657685706627203456|084.71362471352| 0.4114|-69.06238292029| 0.4264|   -0.0983| 0.4109|    5.354| 0.825|    2.828| 0.781|       |
Gaia DR2 4657685637887659520|084.74497987078| 1.6651|-69.07792356066| 1.7011|          |       |         |      |         |      |       |
Gaia DR2 4657685637887768320|084.74223991102| 4.7773|-69.07353472569| 2.6594|          |       |         |      |         |      |       |
Gaia DR2 4657685706607244800|084.70049289308| 3.6949|-69.06331559295| 2.3467|          |       |         |      |         |      |       |
Gaia DR2 4657685702344710656|084.70025587907| 4.2610|-69.06938743969| 2.4738|          |       |         |      |         |      |       |
Gaia DR2 4657685706627204992|084.71388023579| 0.0325|-69.06904478310| 0.0356|   -0.0193| 0.0319|    1.566| 0.066|    0.732| 0.064|       |
Gaia DR2 4657685667984572160|084.69814504517| 0.2578|-69.07422957857| 0.3030|    0.3303| 0.2703|    1.067| 0.504|    1.434| 0.548|       |
Gaia DR2 4657685702344316160|084.70482028992| 0.6415|-69.06544730595| 0.4659|   -0.8934| 0.4729|    3.783| 1.235|    1.781| 0.911|       |
Gaia DR2 4657685667984571648|084.69735887939| 1.1130|-69.07146113045| 1.0648|          |       |         |      |         |      |       |
Gaia DR2 4657685706627202560|084.70846935009| 0.0627|-69.06065662120| 0.0635|   -0.1401| 0.0626|    1.629| 0.119|    0.513| 0.120|       |
Gaia DR2 4657685672267232896|084.70768180802| 0.7144|-69.08156358555| 0.8702|          |       |         |      |         |      |       |
Gaia DR2 4657685667984579328|084.70857979511| 0.5780|-69.07646605620| 0.5844|   -0.2557| 0.5831|    2.377| 1.138|    2.969| 1.077|       |
Gaia DR2 4657685637907729024|084.71842275652| 0.3667|-69.06769315002| 0.3456|   -0.5270| 0.3027|   -0.759| 0.852|    0.612| 0.681|       |
Gaia DR2 4657685672267235328|084.71227317296| 0.0689|-69.08143851966| 0.0704|   -0.1492| 0.0714|    1.737| 0.131|    1.113| 0.131|       |
Gaia DR2 4657685706607246720|084.70156318471| 3.0667|-69.06729917833| 1.8451|          |       |         |      |         |      |       |
Gaia DR2 4657685633625315712|084.74279700798| 0.7653|-69.07420498491| 0.8294|   -0.1211| 0.6756|    3.286| 1.369|    4.683| 1.402|       |
Gaia DR2 4657685667984494464|084.68982427956| 0.2424|-69.07489602277| 0.2948|   -0.3225| 0.2935|    1.722| 0.437|    1.125| 0.531|       |
Gaia DR2 4657685667984494208|084.68958900642| 0.1919|-69.07217873660| 0.2100|    0.1669| 0.2197|    2.259| 0.337|    0.407| 0.399|       |
Gaia DR2 4657685637907498240|084.72364210435| 0.1750|-69.07267428645| 0.2010|    0.0606| 0.1882|    2.002| 0.338|    0.819| 0.388|       |
Gaia DR2 4657685633624858880|084.76105519543| 0.3944|-69.07801391982| 0.4713|   -0.0850| 0.4038|    1.673| 0.775|    0.772| 0.920|       |
Gaia DR2 4657685667984494080|084.68945807281| 0.5251|-69.07765481537| 0.2980|   -0.0381| 0.3799|    2.858| 0.856|   -0.652| 0.601|       |
Gaia DR2 4657685672246653184|084.69010108298| 3.9339|-69.07117548955| 2.2031|          |       |         |      |         |      |       |
Gaia DR2 4657685672267222144|084.69391453939| 0.0208|-69.07445418421| 0.0226|   -0.0324| 0.0220|    1.640| 0.039|    0.773| 0.043|       |
Gaia DR2 4657685672267101312|084.70688646128| 6.3874|-69.08415536608| 8.1773|          |       |         |      |         |      |       |
Gaia DR2 4657685667984723072|084.70112497311| 1.7145|-69.07800264591| 2.0775|          |       |         |      |         |      |       |
Gaia DR2 4657685667984566912|084.69218290202| 3.2224|-69.08010596905| 2.2985|          |       |         |      |         |      |       |
Gaia DR2 4657685667984974848|084.70111525523| 2.1826|-69.08056222205| 1.7501|          |       |         |      |         |      |       |
Gaia DR2 4657685603527005312|084.71469182715| 3.5165|-69.08444300498| 2.9525|          |       |         |      |         |      |       |
Gaia DR2 4657685633625002752|084.71857666107| 0.7277|-69.07187120320| 0.8090|   -1.0600| 0.7861|    2.396| 1.425|    2.137| 1.662|       |
Gaia DR2 4657685603527250688|084.74328646529| 0.3573|-69.08166468455| 0.6449|          |       |         |      |         |      |       |
