#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-01T10:19:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ae6c6f14a55	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&pos:VFTS 682( 10 arcmin J2000)&HTTPPRM:&&-ref=VIZ5ae6c6f14a55&-oc.form=dec&-c=VFTS 682&-c.r=10&-c.geom=r&-order=I&-out.orig=orig&-out=DR2Name&-out=RA_ICRS&-out=e_RA_ICRS&-out=DE_ICRS&-out=e_DE_ICRS&-out=Plx&-out=e_Plx&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=RV&-out=e_RV&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=| -Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c=R136a
#-c.eq=J2000
#-c.r=25
#-c.u=arcsec
#-c.geom=b
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=designation
#-out=ra
#-out=ra_error
#-out=dec
#-out=dec_error
#-out=parallax
#-out=parallax_error
#-out=pmra
#-out=pmra_error
#-out=pmdec
#-out=pmdec_error
#-out=radial_velocity
#-out=radial_velocity_error
#
#INFO	-c=084.680420-69.102220,bs=25.000000/25.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|RV|e_RV
Gaia DR2 4657679659312954624|084.67242517051| 0.3071|-69.10072819461| 0.7364|    0.4654| 0.4773|    3.415| 0.665|    1.895| 1.190|       |
Gaia DR2 4657679659312954368|084.67297584196| 0.7845|-69.10151597856| 1.7372|          |       |         |      |         |      |       |
Gaia DR2 4657679659312952192|084.67113218539| 0.2868|-69.10051494743| 0.3204|    1.1771| 0.2968|    1.729| 0.574|    2.531| 0.622|       |
Gaia DR2 4657679655028646144|084.68248327765| 0.2210|-69.10370530405| 0.3065|    0.1898| 0.2435|    1.948| 0.443|   -0.214| 0.608|       |
Gaia DR2 4657679655028638720|084.67758615091| 1.2352|-69.10501333866| 1.3809|          |       |         |      |         |      |       |
Gaia DR2 4657679655028647808|084.68407429000| 2.4864|-69.10447716218| 2.5320|          |       |         |      |         |      |       |
Gaia DR2 4657679659312962688|084.67128572933| 2.2961|-69.10186616674| 3.7474|          |       |         |      |         |      |       |
Gaia DR2 4657679659312963456|084.67070809574| 0.1324|-69.10234862768| 0.1540|    0.7388| 0.1523|    2.545| 0.257|   -0.400| 0.286|       |
Gaia DR2 4657679659312960640|084.67147629748| 0.4277|-69.10082261048| 0.4607|    0.3484| 0.3340|    5.242| 0.845|    6.998| 0.871|       |
Gaia DR2 4657679659312961280|084.67688218756| 0.2135|-69.10257878560| 0.2407|   -0.3767| 0.2259|    2.079| 0.398|   -0.582| 0.457|       |
Gaia DR2 4657679659312961152|084.67763968923| 0.2831|-69.10256511995| 0.7697|          |       |         |      |         |      |       |
Gaia DR2 4657679659312957824|084.67255030915| 0.1704|-69.10263032383| 0.1985|    0.4656| 0.1833|    2.497| 0.321|    1.553| 0.404|       |
Gaia DR2 4657679659312956288|084.67603736476| 0.9673|-69.10341573948| 0.7244|          |       |         |      |         |      |       |
Gaia DR2 4657679659312956416|084.67583957410| 7.7816|-69.10362815440| 3.1848|          |       |         |      |         |      |       |
Gaia DR2 4657679659312957312|084.67668157614| 0.0779|-69.10420612651| 0.1020|   -0.1550| 0.0800|    1.032| 0.153|   -0.559| 0.190|       |
Gaia DR2 4657679655028828288|084.67716086300| 0.2016|-69.10543212481| 0.1492|   -0.0500| 0.2043|    2.906| 0.391|    1.082| 0.299|       |
Gaia DR2 4657679659312989824|084.67332754629|52.8594|-69.10292083201|14.9971|          |       |         |      |         |      |       |
Gaia DR2 4657679659311800576|084.67926255965| 1.5835|-69.10544766303| 1.1120|          |       |         |      |         |      |       |
Gaia DR2 4657679659312968448|084.68415268978| 0.6894|-69.10364260293| 0.8423|    1.4503| 0.7299|    8.021| 1.390|    1.733| 2.085|       |
Gaia DR2 4657679659312968576|084.68440827716| 4.8330|-69.10399186477|28.7083|          |       |         |      |         |      |       |
Gaia DR2 4657679659292348544|084.67741730662| 0.8430|-69.10406504894| 1.5526|          |       |         |      |         |      |       |
Gaia DR2 4657679655028828032|084.67734967759| 0.4130|-69.10517640488| 0.2400|   -0.3603| 0.2190|   -0.649| 0.706|    4.028| 0.415|       |
Gaia DR2 4657679659312965632|084.67445862979| 0.0700|-69.10402430656| 0.1043|   -0.2417| 0.1145|    2.200| 0.123|    1.380| 0.179|       |
Gaia DR2 4657679659312966912|084.68188758113| 0.1217|-69.10527987735| 0.1435|   -0.2510| 0.1382|    0.917| 0.231|   -1.544| 0.267|       |
Gaia DR2 4657679659312966656|084.68055053903|19.2729|-69.10485027170| 5.6008|          |       |         |      |         |      |       |
Gaia DR2 4657679659312966784|084.68177371161| 1.8643|-69.10491974885| 0.6114|          |       |         |      |         |      |       |
Gaia DR2 4657679659312965120|084.67450223172| 0.1074|-69.10349255869| 0.0678|    0.4436| 0.0799|    1.224| 0.202|    0.773| 0.133|       |
Gaia DR2 4657679659312965248|084.67533084536| 0.2144|-69.10399071629| 0.2093|    0.7340| 0.2204|    3.449| 0.367|    4.877| 0.412|       |
Gaia DR2 4657679659292364928|084.67669802257| 0.7978|-69.10179529630| 0.6658|          |       |         |      |         |      |       |
Gaia DR2 4657679659290058112|084.68688758854| 1.2984|-69.10518057212| 0.4724|          |       |         |      |         |      |       |
Gaia DR2 4657679659312967040|084.68200513156| 0.2141|-69.10464206866| 0.2311|   -0.1899| 0.2202|    1.328| 0.411|    0.750| 0.451|       |
Gaia DR2 4657679659312978432|084.67472924263| 1.2390|-69.10142031924| 1.7071|          |       |         |      |         |      |       |
Gaia DR2 4657679659312979200|084.67941944785| 0.2959|-69.10312747520| 0.3466|    1.3528| 0.3195|    1.620| 0.572|    0.823| 0.674|       |
Gaia DR2 4657679659312979072|084.68009635679| 0.3832|-69.10270681856| 0.8785|          |       |         |      |         |      |       |
Gaia DR2 4657679659312979840|084.67503946868|14.6798|-69.10180740930|11.3025|          |       |         |      |         |      |       |
Gaia DR2 4657679659292338176|084.67503812144| 0.1107|-69.10211815570| 0.1031|   -0.6312| 0.1100|    1.648| 0.227|    1.814| 0.207|       |
Gaia DR2 4657679659312968704|084.68503657042| 0.4183|-69.10394671254| 0.6195|    2.2257| 0.4114|    2.985| 0.773|   -2.633| 1.031|       |
Gaia DR2 4657679659312988032|084.67760562400| 0.2091|-69.10307160614| 0.2286|   -0.0795| 0.2149|    1.034| 0.411|    0.626| 0.456|       |
Gaia DR2 4657679659312984192|084.67106284761| 0.2409|-69.10422184773| 0.3895|   -0.7368| 0.3063|    2.906| 0.454|   -3.326| 0.621|       |
Gaia DR2 4657679659292365824|084.67287762468| 1.2062|-69.10338529614| 1.3458|          |       |         |      |         |      |       |
Gaia DR2 4657679655028473856|084.68507859409| 0.1509|-69.10513234419| 0.1884|    0.2815| 0.1551|    2.501| 0.283|    1.438| 0.350|       |
Gaia DR2 4657679659292396544|084.67352561161| 0.6622|-69.10091764705| 0.8855|          |       |         |      |         |      |       |
Gaia DR2 4657685534828248832|084.68604346177| 0.3762|-69.10241934511| 0.3912|   -0.1088| 0.3403|    4.059| 0.770|    2.715| 0.738|       |
Gaia DR2 4657685534828248448|084.68624824153| 1.1317|-69.10267173341| 2.1568|          |       |         |      |         |      |       |
Gaia DR2 4657685534828248320|084.68667564532| 0.3206|-69.10303292303| 0.5040|   -0.8195| 0.3777|    0.615| 0.616|   -0.709| 0.971|       |
Gaia DR2 4657685534807598720|084.67706340241|82.9104|-69.10125901540|25.1345|          |       |         |      |         |      |       |
Gaia DR2 4657685534828242176|084.67785250501| 0.6493|-69.09898781486| 0.4296|   -2.6144| 0.5243|  -12.948| 1.071|   -9.948| 0.847|       |
Gaia DR2 4657685534807733376|084.69011085073| 1.0199|-69.10192612351| 2.4485|          |       |         |      |         |      |       |
Gaia DR2 4657685534807639296|084.68858944072| 0.5425|-69.09880244589| 1.7126|          |       |         |      |         |      |       |
Gaia DR2 4657685534807735808|084.68841500912| 0.0423|-69.10380338028| 0.0526|   -0.0468| 0.0433|    1.849| 0.085|    0.798| 0.101|       |
Gaia DR2 4657685534828257024|084.68910374144| 0.9482|-69.09954650744| 2.6508|          |       |         |      |         |      |       |
Gaia DR2 4657685534828256384|084.68744853519| 0.5871|-69.10290699375| 1.3316|          |       |         |      |         |      |       |
Gaia DR2 4657685534828256256|084.68751590584| 0.7603|-69.10324469818| 0.8205|   -0.4343| 0.6553|    2.704| 1.249|    4.376| 1.422|       |
Gaia DR2 4657685534807730048|084.68763155095| 0.2467|-69.10113343939| 0.3751|   -0.3874| 0.3273|    0.290| 0.470|   -1.031| 0.767|       |
Gaia DR2 4657685534807729920|084.68675797426| 3.3653|-69.10174163788| 0.9939|          |       |         |      |         |      |       |
Gaia DR2 4657685534807729792|084.68763998863| 0.4304|-69.10186025102| 0.5814|    1.8012| 0.4416|   -0.069| 0.825|   -1.867| 1.051|       |
Gaia DR2 4657685534807732096|084.68865899991| 0.2090|-69.10152047084| 0.2399|    0.1193| 0.2276|    1.311| 0.402|   -0.106| 0.515|       |
Gaia DR2 4657685534828251392|084.68094535105| 0.4749|-69.10256064263| 0.4405|    0.8015| 0.4109|   -0.700| 0.892|    7.787| 0.829|       |
Gaia DR2 4657685534828251136|084.68122096746| 1.0217|-69.10277686411| 0.9013|          |       |         |      |         |      |       |
Gaia DR2 4657685534828253056|084.68530967025| 0.0744|-69.09876919227| 0.0932|    0.0316| 0.0695|    2.007| 0.138|    1.368| 0.169|       |
Gaia DR2 4657685534828262144|084.68233864997| 0.7599|-69.10077097074| 0.8550|          |       |         |      |         |      |       |
Gaia DR2 4657685534828261504|084.68118561393| 0.1780|-69.10058710591| 0.3164|   -0.4813| 0.2088|   -3.497| 0.417|  -10.085| 0.946|       |
Gaia DR2 4657685534828261376|084.67990383456| 3.5148|-69.10025536588| 1.0539|          |       |         |      |         |      |       |
Gaia DR2 4657685534828263168|084.68011903803| 0.7056|-69.10202665222| 2.3508|          |       |         |      |         |      |       |
Gaia DR2 4657685534807646464|084.68225068166| 0.1258|-69.09880752544| 0.1621|   -0.3242| 0.1422|    0.943| 0.252|   -0.207| 0.282|       |
Gaia DR2 4657685534828262784|084.67921132233| 0.2450|-69.10218690204| 0.3303|   -0.4208| 0.2543|    0.107| 0.444|   -1.306| 0.591|       |
Gaia DR2 4657685534807598848|084.67997018352| 0.7959|-69.10050537984| 1.5175|          |       |         |      |         |      |       |
Gaia DR2 4657685534807648896|084.67808546114| 0.9937|-69.10108267413| 1.2685|          |       |         |      |         |      |       |
Gaia DR2 4657685534807625728|084.67826063511| 0.6926|-69.09943320712| 0.5938|          |       |         |      |         |      |       |
Gaia DR2 4657685534828258048|084.68509365626| 6.9749|-69.09990608284| 6.0967|          |       |         |      |         |      |       |
Gaia DR2 4657685534828257792|084.68440090029| 0.0273|-69.10166586620| 0.0308|    0.1116| 0.0287|    1.874| 0.052|    0.753| 0.056|       |
Gaia DR2 4657685534828258432|084.68375020722| 0.2666|-69.10292376111| 0.2690|   -1.5690| 0.2384|   -4.791| 0.534|    1.499| 0.550|       |
Gaia DR2 4657685534828259584|084.68252726428| 1.3646|-69.09994969528| 1.5540|          |       |         |      |         |      |       |
Gaia DR2 4657685534828259328|084.68180773468| 1.4420|-69.10035877250| 4.3537|          |       |         |      |         |      |       |
Gaia DR2 4657685534828260608|084.68387218452| 0.1562|-69.09908502480| 0.1860|   -0.9931| 0.1721|    1.230| 0.297|   -0.227| 0.353|       |
Gaia DR2 4657685534828260480|084.68359467095| 0.1396|-69.09880117928| 0.1501|    0.0059| 0.1373|    1.240| 0.229|   -0.024| 0.248|       |
Gaia DR2 4657685534828260352|084.68452447019| 0.3097|-69.09921201255| 0.5732|          |       |         |      |         |      |       |
Gaia DR2 4657685534828280576|084.68950205809| 0.3808|-69.10259402080| 1.0593|          |       |         |      |         |      |       |
Gaia DR2 4657685534828236032|084.68501603846| 1.2421|-69.10280039889| 1.9218|          |       |         |      |         |      |       |
Gaia DR2 4657685534828236160|084.67264286753|15.5009|-69.10004438655| 5.6357|          |       |         |      |         |      |       |
Gaia DR2 4657685530543911552|084.68692280969| 3.4474|-69.10394937407| 7.3191|          |       |         |      |         |      |       |
Gaia DR2 4657685534828212992|084.68222961783| 1.4499|-69.10196059717| 4.4144|          |       |         |      |         |      |       |
Gaia DR2 4657685530543914368|084.68884140210| 0.1479|-69.10271287395| 0.2004|    0.9334| 0.1551|    1.900| 0.294|   -0.677| 0.389|       |
Gaia DR2 4657685534807656832|084.67453366756| 0.5989|-69.09913065915| 0.6235|          |       |         |      |         |      |       |
Gaia DR2 4657685534828213632|084.67685318984| 0.3827|-69.09934965496| 0.5747|   -0.6308| 0.6004|    1.725| 0.675|   -2.678| 0.859|       |
Gaia DR2 4657685534807656448|084.67367321673| 2.5032|-69.10019627939| 7.8234|          |       |         |      |         |      |       |
Gaia DR2 4657685534828213376|084.67290444763| 0.2374|-69.09915357306| 0.4180|          |       |         |      |         |      |       |
Gaia DR2 4657685534828215168|084.67217679580| 0.4328|-69.09933622136| 0.9049|          |       |         |      |         |      |       |
Gaia DR2 4657685534828215040|084.67125342259| 0.1621|-69.09956795434| 0.3584|   -0.1445| 0.1842|    1.072| 0.356|   -0.712| 0.808|       |
Gaia DR2 4657685534828216192|084.67661758334| 1.0544|-69.10083869674| 1.0323|          |       |         |      |         |      |       |
Gaia DR2 4657685534828237440|084.67876403397| 0.2579|-69.10137880916| 0.3400|    0.1266| 0.2492|    1.455| 0.486|    1.108| 0.634|       |
Gaia DR2 4657685534828216576|084.67815550062| 1.1142|-69.09980937875| 1.0869|          |       |         |      |         |      |       |
Gaia DR2 4657685534828217600|084.67988329307| 0.1508|-69.10103469840| 0.2087|    0.3526| 0.1648|    3.486| 0.298|    2.688| 0.389|       |
Gaia DR2 4657685534807598464|084.67735087631| 3.4472|-69.09986961525| 2.7488|          |       |         |      |         |      |       |
Gaia DR2 4657685534828218624|084.68917417017| 0.1330|-69.10013477691| 0.1749|   -0.9377| 0.1595|    2.291| 0.257|    3.016| 0.432|       |
Gaia DR2 4657685534828219904|084.67348569024| 3.9961|-69.09978046856|11.0544|          |       |         |      |         |      |       |
Gaia DR2 4657685530543791616|084.69002072381| 1.4242|-69.10299182450| 1.9188|          |       |         |      |         |      |       |
Gaia DR2 4657685534807599232|084.68386054432| 0.1228|-69.10112299527| 0.1462|   -0.0003| 0.1350|    2.067| 0.236|   -1.078| 0.281|       |
Gaia DR2 4657685530543714944|084.68898842157| 0.0927|-69.10208165166| 0.1088|    0.1307| 0.0992|    2.036| 0.181|    0.851| 0.212|       |
Gaia DR2 4657685534828231168|084.67922760706| 2.2495|-69.10033929191|11.1837|          |       |         |      |         |      |       |
Gaia DR2 4657685534828228224|084.68032338732| 1.0522|-69.09946005015| 1.3481|          |       |         |      |         |      |       |
Gaia DR2 4657685534807608576|084.68920886380| 8.2866|-69.10303459437| 8.3702|          |       |         |      |         |      |       |
Gaia DR2 4657685534807624576|084.67784175156| 1.0357|-69.10200161610| 1.2280|          |       |         |      |         |      |       |
Gaia DR2 4657685534828233472|084.67535752831| 3.9032|-69.10064787659|19.9431|          |       |         |      |         |      |       |
Gaia DR2 4657685534828233344|084.67548155692| 0.3785|-69.10020715830| 0.5038|   -1.7222| 0.3713|    4.909| 0.699|   21.020| 0.916|       |
Gaia DR2 4657685534828232960|084.67938623150| 0.2009|-69.09922254297| 0.2258|    0.3194| 0.1884|    1.649| 0.431|    1.993| 0.366|       |
Gaia DR2 4657685534828232832|084.67977216644| 0.7716|-69.09953773555| 1.0407|          |       |         |      |         |      |       |
Gaia DR2 4657685534828232704|084.67878349355|30.6644|-69.09982303524|12.0978|          |       |         |      |         |      |       |
Gaia DR2 4657685534828234240|084.67686479007| 2.6723|-69.10037220588| 1.6743|          |       |         |      |         |      |       |
Gaia DR2 4657685534828235520|084.67354398454| 1.4038|-69.09892463495| 1.3404|          |       |         |      |         |      |       |
Gaia DR2 4657685534828234368|084.67580532953| 3.2240|-69.09906520563| 1.4348|          |       |         |      |         |      |       |
Gaia DR2 4657685534828236416|084.67295354224| 0.3296|-69.10026532071| 0.3814|   -1.9298| 0.3455|    1.261| 0.718|   13.331| 0.742|       |
Gaia DR2 4657685534828235904|084.68492384896| 0.1066|-69.10327956914| 0.1296|   -0.3567| 0.1146|    1.747| 0.201|    2.949| 0.244|       |
Gaia DR2 4657685534807726592|084.68711816378| 0.6524|-69.10030452503| 0.9629|          |       |         |      |         |      |       |

