#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-12T10:40:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af6a690976a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=NGC2070
#-c.eq=J2000
#-c.r=  0.05
#-c.u=deg
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Source
#-out=Plx
#Plx=-0.1..0.1
#-out=e_Plx
#-out=pmRA
#pmRA=!=
#-out=e_pmRA
#e_pmRA=<=0.1
#-out=pmDE
#pmDE=!=
#-out=e_pmDE
#e_pmDE=<=0.1
#-out=epsi
#epsi=<1
#Nper=>=5
#-out=Gmag
#Gmag=<17
#-out=e_Gmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.675000-69.100000,rd=0.05	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id) (G2)	[ucd=meta.id;meta.main]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	epsi	(F6.3)	Excess noise of the source (astrometric_excess_noise) (12)	[ucd=stat.value]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Source|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|epsi|Gmag|e_Gmag|RV|e_RV
Gaia DR2 4657679624951969536|084.66247419278| 0.0396|-69.11637337394| 0.0461|4657679624951969536|   -0.0086| 0.0467|    1.529| 0.078|    0.405| 0.090| 0.062|15.7326|0.0013|       |
Gaia DR2 4657679659292387456|084.67507569034| 0.0533|-69.10469109694| 0.0490|4657679659292387456|    0.0364| 0.0491|    1.789| 0.093|    0.191| 0.095| 0.328|15.3705|0.0027|       |
Gaia DR2 4657679586261960064|084.70720131044| 0.0238|-69.11195848088| 0.0267|4657679586261960064|    0.0217| 0.0262|    1.745| 0.045|    0.768| 0.050| 0.170|13.0349|0.0011|       |
Gaia DR2 4657679590592243328|084.71332932086| 0.0221|-69.11144379076| 0.0246|4657679590592243328|   -0.0117| 0.0230|    1.636| 0.043|    0.623| 0.047| 0.082|14.3029|0.0011|       |
Gaia DR2 4657679586261967616|084.73883242185| 0.0172|-69.11937851460| 0.0190|4657679586261967616|   -0.0525| 0.0176|    1.742| 0.033|    0.855| 0.034| 0.000|13.7023|0.0048|       |
Gaia DR2 4657679556232617216|084.72683096987| 0.0261|-69.13347805904| 0.0302|4657679556232617216|   -0.0405| 0.0277|    1.622| 0.051|    0.495| 0.058| 0.127|14.4215|0.0013|       |
Gaia DR2 4657679655028521472|084.67392207536| 0.0250|-69.10696528049| 0.0251|4657679655028521472|   -0.0256| 0.0251|    1.610| 0.044|    0.393| 0.047| 0.111|14.2098|0.0007|       |
Gaia DR2 4657679556232613632|084.72073050975| 0.0218|-69.12927703695| 0.0216|4657679556232613632|   -0.0204| 0.0206|    1.725| 0.044|    0.655| 0.042| 0.000|14.2429|0.0007|       |
Gaia DR2 4657679659311801600|084.67776542356| 0.0226|-69.10997021571| 0.0237|4657679659311801600|   -0.0211| 0.0219|    1.665| 0.045|    0.674| 0.045| 0.000|14.7171|0.0010|       |
Gaia DR2 4657679556232623744|084.73263700162| 0.0216|-69.13956970481| 0.0242|4657679556232623744|   -0.0091| 0.0212|    1.684| 0.044|    0.704| 0.046| 0.000|14.3411|0.0009|       |
Gaia DR2 4657679624951970560|084.67021525370| 0.0322|-69.11599239573| 0.0364|4657679624951970560|    0.0394| 0.0331|    1.661| 0.064|    0.492| 0.074| 0.085|15.5600|0.0009|       |
Gaia DR2 4657679556232618496|084.72541860917| 0.0238|-69.13547528368| 0.0247|4657679556232618496|   -0.0148| 0.0251|    1.781| 0.047|    0.736| 0.048| 0.071|14.5184|0.0007|       |
Gaia DR2 4657679556232608256|084.70919396878| 0.0464|-69.12924199261| 0.0482|4657679556232608256|   -0.0064| 0.0452|    1.545| 0.094|    0.602| 0.094| 0.000|16.2532|0.0015|       |
Gaia DR2 4657679659311707264|084.67384850837| 0.0353|-69.10783075016| 0.0390|4657679659311707264|    0.0641| 0.0358|    1.783| 0.065|    0.675| 0.073| 0.194|15.2037|0.0012|       |
Gaia DR2 4657679659311706752|084.66364560318| 0.0420|-69.11083624389| 0.0458|4657679659311706752|   -0.0915| 0.0457|    1.690| 0.083|    1.141| 0.092| 0.103|16.0992|0.0020|       |
Gaia DR2 4657679551902223616|084.71508843950| 0.0282|-69.13536264525| 0.0279|4657679551902223616|   -0.0968| 0.0282|    1.543| 0.054|    0.589| 0.052| 0.000|11.3501|0.0042|       |
Gaia DR2 4657679624952080000|084.70058813067| 0.0454|-69.12822039173| 0.0492|4657679624952080000|    0.0752| 0.0483|    1.701| 0.091|    0.539| 0.097| 0.161|16.0902|0.0015|       |
Gaia DR2 4657679654981423488|084.65938304649| 0.0360|-69.10483377468| 0.0371|4657679654981423488|   -0.0027| 0.0361|    1.729| 0.072|    0.919| 0.074| 0.163|15.4134|0.0040|       |
Gaia DR2 4657679654981424640|084.66312122933| 0.0191|-69.10591381943| 0.0181|4657679654981424640|    0.0458| 0.0185|    1.699| 0.035|    0.607| 0.034| 0.000|13.2226|0.0012|       |
Gaia DR2 4657679659290074752|084.69195363155| 0.0378|-69.11562309108| 0.0438|4657679659290074752|    0.0156| 0.0399|    1.803| 0.074|    0.686| 0.085| 0.257|15.4992|0.0019|       |
Gaia DR2 4657679865470529664|084.62813786589| 0.0411|-69.14086845242| 0.0467|4657679865470529664|    0.0284| 0.0427|    1.562| 0.093|    0.815| 0.086| 0.172|15.7379|0.0011|       |
Gaia DR2 4657679934189686784|084.59281416229| 0.0323|-69.13078004240| 0.0333|4657679934189686784|    0.0411| 0.0328|    1.571| 0.062|    0.537| 0.064| 0.103|15.3432|0.0010|       |
Gaia DR2 4657679865470220160|084.61423995179| 0.0424|-69.13594068791| 0.0455|4657679865470220160|    0.0651| 0.0431|    1.836| 0.087|    0.535| 0.088| 0.265|15.5828|0.0016|       |
Gaia DR2 4657680346506421376|084.60127201203| 0.0427|-69.10780446541| 0.0517|4657680346506421376|    0.0030| 0.0462|    2.062| 0.084|    0.635| 0.095| 0.000|16.2931|0.0015|       |
Gaia DR2 4657680243427348352|084.63060842847| 0.0457|-69.13779729705| 0.0511|4657680243427348352|    0.0147| 0.0469|    2.089| 0.100|    0.602| 0.099| 0.153|16.2571|0.0028|       |
Gaia DR2 4657680277787082880|084.63469331013| 0.0419|-69.12561672358| 0.0439|4657680277787082880|    0.0212| 0.0422|    1.900| 0.086|    0.926| 0.095| 0.074|16.0170|0.0015|       |
Gaia DR2 4657680312146807040|084.59713871742| 0.0252|-69.12113216707| 0.0260|4657680312146807040|   -0.0571| 0.0244|    1.683| 0.049|    0.615| 0.048| 0.117|14.1293|0.0005|       |
Gaia DR2 4657680312147120000|084.58274685592| 0.0348|-69.11947592041| 0.0345|4657680312147120000|   -0.0239| 0.0340|    1.731| 0.071|    0.982| 0.072| 0.000|15.5324|0.0060|       |
Gaia DR2 4657680380866208768|084.64405496403| 0.0323|-69.11465700484| 0.0364|4657680380866208768|   -0.0037| 0.0335|    1.673| 0.063|    0.696| 0.070| 0.129|15.5622|0.0018|       |
Gaia DR2 4657680415225898368|084.62264138934| 0.0260|-69.08922156057| 0.0350|4657680415225898368|   -0.0461| 0.0322|    1.597| 0.049|    0.790| 0.058| 0.000|14.7665|0.0040|       |
Gaia DR2 4657680445255457536|084.57222285725| 0.0396|-69.09501114167| 0.0525|4657680445255457536|    0.0150| 0.0467|    1.552| 0.077|    0.599| 0.090| 0.234|15.6123|0.0010|       |
Gaia DR2 4657680445255458048|084.57380394357| 0.0369|-69.09605443966| 0.0419|4657680445255458048|   -0.0127| 0.0387|    1.853| 0.072|    0.769| 0.081| 0.195|15.6997|0.0008|       |
Gaia DR2 4657680449585633280|084.58024428978| 0.0218|-69.10014472427| 0.0262|4657680449585633280|   -0.0359| 0.0224|    1.730| 0.042|    0.751| 0.049| 0.134|14.1117|0.0005|       |
Gaia DR2 4657680415225904640|084.64823637454| 0.0427|-69.10185433911| 0.0491|4657680415225904640|    0.0631| 0.0462|    1.504| 0.083|    0.604| 0.089| 0.284|14.5191|0.0031|       |
Gaia DR2 4657680483945371904|084.59347761621| 0.0344|-69.08925008711| 0.0379|4657680483945371904|   -0.0444| 0.0359|    1.768| 0.065|    0.652| 0.073| 0.151|15.5735|0.0008|       |
Gaia DR2 4657680380844436864|084.62286944735| 0.0381|-69.10570984571| 0.0423|4657680380844436864|   -0.0200| 0.0388|    1.541| 0.076|    0.631| 0.083| 0.183|15.5923|0.0013|       |
Gaia DR2 4657680483945368576|084.57966929273| 0.0411|-69.08280943512| 0.0457|4657680483945368576|    0.0642| 0.0430|    1.821| 0.078|    0.643| 0.087| 0.174|15.9686|0.0014|       |
Gaia DR2 4657680483945366912|084.56897349820| 0.0348|-69.08144013637| 0.0398|4657680483945366912|    0.0027| 0.0341|    1.865| 0.071|    0.759| 0.077| 0.127|15.4307|0.0008|       |
Gaia DR2 4657680483945367296|084.57227207887| 0.0431|-69.07994738578| 0.0511|4657680483945367296|    0.0179| 0.0471|    1.701| 0.082|    0.715| 0.096| 0.231|15.8907|0.0012|       |
Gaia DR2 4657680479615199616|084.59880912531| 0.0372|-69.08431994511| 0.0388|4657680479615199616|   -0.0040| 0.0372|    1.748| 0.070|    0.908| 0.075| 0.158|12.4963|0.0006|       |
Gaia DR2 4657680380866163456|084.61693632266| 0.0281|-69.10806966773| 0.0343|4657680380866163456|    0.0353| 0.0304|    1.750| 0.055|    0.734| 0.061| 0.152|14.9360|0.0008|       |
Gaia DR2 4657680415225902464|084.63013335125| 0.0349|-69.09806428963| 0.0431|4657680415225902464|    0.0987| 0.0413|    1.892| 0.068|    0.532| 0.084| 0.237|15.1730|0.0014|       |
Gaia DR2 4657680410895734784|084.65057112510| 0.0279|-69.09943386456| 0.0310|4657680410895734784|    0.0901| 0.0282|    1.763| 0.054|    0.565| 0.059| 0.000|11.6454|0.0018|       |
Gaia DR2 4657680410895729408|084.63442189765| 0.0410|-69.09571902528| 0.0505|4657680410895729408|    0.0374| 0.0454|    1.682| 0.080|    0.548| 0.095| 0.265|15.6368|0.0045|       |
Gaia DR2 4657680415225947008|084.64978093002| 0.0242|-69.10256887485| 0.0264|4657680415225947008|   -0.0373| 0.0235|    1.671| 0.046|    0.555| 0.063| 0.034|12.9699|0.0012|       |
Gaia DR2 4657680380866211200|084.65171573014| 0.0165|-69.11597911528| 0.0188|4657680380866211200|   -0.0051| 0.0172|    1.673| 0.032|    0.688| 0.035| 0.000|13.4744|0.0011|       |
Gaia DR2 4657680376583125760|084.65432024193| 0.0400|-69.11409589988| 0.0521|4657680376583125760|    0.0270| 0.0467|    1.560| 0.078|    0.639| 0.095| 0.252|15.5181|0.0025|       |
Gaia DR2 4657680415225922048|084.65000224248| 0.0357|-69.10470636364| 0.0381|4657680415225922048|    0.0860| 0.0354|    1.655| 0.069|    0.325| 0.076| 0.241|14.8767|0.0018|       |
Gaia DR2 4657680376535927040|084.65024910232| 0.0192|-69.11292761404| 0.0201|4657680376535927040|    0.0178| 0.0207|    1.696| 0.037|    0.606| 0.037| 0.000|13.4539|0.0013|       |
Gaia DR2 4657680376535927808|084.65359450840| 0.0246|-69.11281804722| 0.0291|4657680376535927808|   -0.0462| 0.0267|    1.686| 0.050|    0.659| 0.056| 0.000|14.9645|0.0019|       |
Gaia DR2 4657680513972093952|084.53994959385| 0.0282|-69.10591875808| 0.0287|4657680513972093952|   -0.0652| 0.0266|    1.707| 0.055|    0.628| 0.054| 0.000|10.1053|0.0028|       |
Gaia DR2 4657680518305213184|084.55011389775| 0.0198|-69.10948894485| 0.0197|4657680518305213184|   -0.0226| 0.0197|    1.704| 0.036|    0.621| 0.036| 0.000|13.5359|0.0007|       |
Gaia DR2 4657680655744056704|084.54266375817| 0.0390|-69.08463341051| 0.0431|4657680655744056704|    0.0653| 0.0407|    1.737| 0.072|    0.777| 0.080| 0.177|15.6597|0.0008|       |
Gaia DR2 4657680690103795200|084.54713426988| 0.0418|-69.08033520746| 0.0396|4657680690103795200|   -0.0145| 0.0391|    1.852| 0.075|    0.775| 0.073| 0.231|15.0772|0.0007|       |
Gaia DR2 4657685259950411136|084.75313819651| 0.0405|-69.12026868086| 0.0450|4657685259950411136|    0.0760| 0.0407|    1.762| 0.080|    0.864| 0.084| 0.221|15.6429|0.0008|       |
Gaia DR2 4657685397389361664|084.77032473374| 0.0203|-69.09457455346| 0.0227|4657685397389361664|    0.0282| 0.0216|    1.747| 0.038|    0.687| 0.042| 0.000|14.2123|0.0014|       |
Gaia DR2 4657685397389373184|084.79550535504| 0.0304|-69.10381371129| 0.0387|4657685397389373184|   -0.0650| 0.0323|    1.725| 0.057|    0.679| 0.070| 0.169|15.0366|0.0007|       |
Gaia DR2 4657685393057834368|084.77056516588| 0.0452|-69.09316359690| 0.0530|4657685393057834368|    0.0380| 0.0481|    1.886| 0.086|    0.653| 0.098| 0.132|16.2374|0.0014|       |
Gaia DR2 4657685496137044352|084.73360365622| 0.0343|-69.09837056559| 0.0381|4657685496137044352|    0.0078| 0.0371|    1.833| 0.064|    0.628| 0.079| 0.000|15.5946|0.0009|       |
Gaia DR2 4657685564905715584|084.67988704355| 0.0480|-69.07831545853| 0.0481|4657685564905715584|   -0.0520| 0.0488|    1.760| 0.090|    0.847| 0.091| 0.358|14.6241|0.0018|       |
Gaia DR2 4657685534807639808|084.68732617171| 0.0375|-69.09838251963| 0.0414|4657685534807639808|   -0.0525| 0.0394|    1.616| 0.070|    1.265| 0.082| 0.311|14.4266|0.0015|       |
Gaia DR2 4657685534828224896|084.66558898927| 0.0425|-69.09425464664| 0.0495|4657685534828224896|    0.0079| 0.0467|    1.668| 0.081|    0.844| 0.091| 0.243|15.4092|0.0034|       |
Gaia DR2 4657685534807650304|084.68203658893| 0.0318|-69.09664802186| 0.0347|4657685534807650304|   -0.0908| 0.0333|    1.754| 0.060|    1.179| 0.064| 0.217|13.8391|0.0017|       |
Gaia DR2 4657685534828270976|084.67808840257| 0.0327|-69.09516871729| 0.0312|4657685534828270976|    0.0086| 0.0293|    1.706| 0.060|    0.646| 0.056| 0.000|11.7387|0.0020|       |
Gaia DR2 4657685534828272512|084.69036652325| 0.0278|-69.09417402371| 0.0334|4657685534828272512|    0.0102| 0.0325|    1.750| 0.053|    0.705| 0.068| 0.207|13.8885|0.0005|       |
Gaia DR2 4657685534828273536|084.69068304074| 0.0479|-69.09469121152| 0.0533|4657685534828273536|   -0.0727| 0.0501|    1.842| 0.091|    0.785| 0.093| 0.348|14.6803|0.0031|       |
Gaia DR2 4657685564905335680|084.67474208780| 0.0377|-69.07744505469| 0.0395|4657685564905335680|   -0.0010| 0.0377|    1.760| 0.072|    0.923| 0.076| 0.289|14.6278|0.0017|       |
Gaia DR2 4657685466088274688|084.71265145387| 0.0250|-69.09855210944| 0.0270|4657685466088274688|   -0.0313| 0.0254|    1.718| 0.048|    0.791| 0.051| 0.049|14.7076|0.0005|       |
Gaia DR2 4657685569187852288|084.66462383416| 0.0447|-69.07741485956| 0.0483|4657685569187852288|    0.0365| 0.0452|    1.756| 0.085|    0.625| 0.093| 0.307|15.4364|0.0019|       |
Gaia DR2 4657685500468549248|084.71003208243| 0.0251|-69.09396032212| 0.0273|4657685500468549248|   -0.0717| 0.0255|    1.758| 0.047|    0.739| 0.050| 0.150|14.1453|0.0005|       |
Gaia DR2 4657685530545537920|084.68505361902| 0.0262|-69.09340202752| 0.0276|4657685530545537920|   -0.0869| 0.0264|    1.866| 0.052|    0.777| 0.053| 0.201|13.6041|0.0007|       |
Gaia DR2 4657685569187855488|084.69335046183| 0.0360|-69.09189626962| 0.0442|4657685569187855488|   -0.0582| 0.0377|    1.710| 0.070|    1.014| 0.082| 0.203|15.0711|0.0011|       |
Gaia DR2 4657685569188021120|084.70197594088| 0.0386|-69.09241094334| 0.0442|4657685569188021120|   -0.0738| 0.0421|    1.540| 0.074|    0.901| 0.077| 0.113|12.3916|0.0135|       |
Gaia DR2 4657685534828283904|084.69242900070| 0.0255|-69.10485223321| 0.0299|4657685534828283904|    0.0435| 0.0283|    1.868| 0.049|    1.086| 0.058| 0.190|13.7556|0.0007|       |
Gaia DR2 4657685461824464896|084.71270054137| 0.0216|-69.10569189233| 0.0253|4657685461824464896|    0.0792| 0.0256|    1.790| 0.041|    0.580| 0.052| 0.000|13.9592|0.0045|       |
Gaia DR2 4657685461824713472|084.74547021682| 0.0395|-69.11171324608| 0.0477|4657685461824713472|   -0.0566| 0.0426|    1.741| 0.077|    0.737| 0.089| 0.262|15.5984|0.0015|       |
Gaia DR2 4657685466108821376|084.72015939823| 0.0296|-69.10336444495| 0.0339|4657685466108821376|   -0.0012| 0.0318|    1.838| 0.057|    0.723| 0.067| 0.133|15.0378|0.0007|       |
Gaia DR2 4657685530496770944|084.68993509290| 0.0291|-69.09662826356| 0.0305|4657685530496770944|    0.0244| 0.0311|    1.836| 0.055|    0.774| 0.059| 0.000|12.4693|0.0013|       |
Gaia DR2 4657685500468553088|084.71690270325| 0.0306|-69.09274286605| 0.0389|4657685500468553088|   -0.0140| 0.0330|    1.702| 0.057|    0.726| 0.069| 0.104|15.2484|0.0067|       |
Gaia DR2 4657685534828291072|084.70435792440| 0.0360|-69.10545976304| 0.0404|4657685534828291072|    0.0033| 0.0401|    1.734| 0.069|    0.684| 0.088| 0.143|15.5421|0.0010|       |
